dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,0,    1376.058935
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,1,    1164.515950
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,2,    1281.343641
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,3,    1291.084258
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,4,    1477.697639
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,5,    1280.765977
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,6,    1365.790624
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,7,    1308.968748
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,8,    1302.064766
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,9,    1274.771042
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,10,    1328.653615
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,11,    1301.817554
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,12,    1376.911739
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,13,    1185.184440
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,14,    1287.812063
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,15,    1240.818625
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,16,    1331.350886
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,17,    1267.826341
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,18,    1279.761960
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,19,    1127.986629
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,20,    1342.361423
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,21,    1372.831366
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,22,    1319.868092
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,23,    1297.715210
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,24,    1527.936400
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,25,    1307.246997
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,26,    1348.606552
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,27,    1409.661992
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,28,    1261.201468
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,512,29,    1303.658310
