dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,0,   10804.875554
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,1,   10950.307498
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,2,   11202.589514
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,3,   11179.589429
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,4,   11324.568184
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,5,   11271.588311
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,6,   11332.868077
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,7,   11257.484569
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,8,   11359.584162
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,9,   11318.867576
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,10,   11350.703077
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,11,   11375.152096
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,12,   11359.569548
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,13,   11291.871362
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,14,   11274.794806
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,15,   11359.549975
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,16,   11295.291380
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,17,   11346.782363
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,18,   11378.979951
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,19,   11337.000645
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,20,   11341.095503
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,21,   11381.069228
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,22,   11319.731776
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,23,   11366.101288
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,24,   11333.160714
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,25,   11341.562599
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,26,   11321.275812
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,27,   11343.727405
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,28,   11320.827479
3,float,uniform,PoisFFT,"D | D | D | D | D | D",2,512,29,   11361.469000
