dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,0,    6492.729894
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,1,    6222.957611
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,2,    6193.778267
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,3,    6216.715706
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,4,    6281.449549
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,5,    6209.670858
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,6,    6224.723151
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,7,    6286.504665
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,8,    6189.434695
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,9,    6195.120412
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,10,    6218.403567
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,11,    6300.712317
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,12,    6228.156365
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,13,    6191.406862
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,14,    6190.328688
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,15,    6315.184530
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,16,    6355.020151
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,17,    6317.824490
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,18,    6332.560377
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,19,    6335.808201
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,20,    6194.501577
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,21,    6326.981079
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,22,    6242.835172
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,23,    6314.622976
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,24,    6312.055825
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,25,    6199.803898
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,26,    6291.554309
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,27,    6270.860768
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,28,    6296.753524
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,512,29,    6267.769566
