dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,0,    2298.761583
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,1,    2277.474762
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,2,    2276.317486
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,3,    2251.054954
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,4,    2252.092885
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,5,    2253.230640
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,6,    2255.106880
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,7,    2248.142205
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,8,    2249.104110
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,9,    2248.558343
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,10,    2253.267024
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,11,    2252.530723
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,12,    2243.442673
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,13,    2240.061484
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,14,    2250.065922
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,15,    2252.857622
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,16,    2243.301684
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,17,    2256.201649
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,18,    2245.680329
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,19,    2243.786604
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,20,    2245.453117
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,21,    2245.861745
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,22,    2248.455765
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,23,    2253.303669
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,24,    2248.480159
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,25,    2257.059011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,26,    2256.629359
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,27,    2254.797976
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,28,    2256.403286
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,512,29,    2265.493457
