dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,0,    1873.105166
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,1,    1816.540674
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,2,    1818.545609
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,3,    1814.510696
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,4,    1807.701520
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,5,    1813.708645
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,6,    1814.852283
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,7,    1816.626360
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,8,    1808.207673
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,9,    1816.185734
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,10,    1812.594718
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,11,    1814.356092
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,12,    1812.693246
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,13,    1810.649833
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,14,    1812.380291
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,15,    1817.828613
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,16,    1812.352484
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,17,    1811.071942
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,18,    1811.319050
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,19,    1813.432384
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,20,    1814.232740
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,21,    1810.701131
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,22,    1815.315550
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,23,    1810.907316
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,24,    1817.693185
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,25,    1810.079968
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,26,    1809.195522
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,27,    1807.980527
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,28,    1806.020575
3,double,uniform,PoisFFT,"P | P | P | P | N | D",8,512,29,    1809.343200
