dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,0,    1431.450737
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,1,    1316.668869
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,2,    1414.757285
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,3,    1344.934195
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,4,    1375.012696
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,5,    1241.327992
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,6,    1353.666767
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,7,    1344.229809
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,8,    1367.935380
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,9,    1315.752429
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,10,    1268.103491
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,11,    1278.257635
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,12,    1358.683540
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,13,    1359.639189
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,14,    1320.897490
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,15,    1320.515443
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,16,    1382.500005
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,17,    1323.873575
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,18,    1356.815135
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,19,    1385.632273
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,20,    1336.009676
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,21,    1394.496164
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,22,    1286.412621
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,23,    1337.979532
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,24,    1426.969363
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,25,    1334.987481
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,26,    1344.543564
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,27,    1339.711800
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,28,    1379.156443
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,512,29,    1347.338802
