dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,0,3.55613,5.32033,21.2845,3.78163,34.0658,33.9426
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,1,3.1721,5.29312,21.2544,3.65261,33.5032,33.3722
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,2,3.15005,5.29089,21.2254,3.64954,33.4452,33.3159
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,3,3.15469,5.29223,21.2418,3.63622,33.4559,33.325
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,4,3.14762,5.29317,21.2387,3.6311,33.4421,33.3106
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,5,3.16022,5.29255,21.2216,3.63418,33.4372,33.3085
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,6,3.1551,5.29047,21.2453,3.64032,33.4595,33.3312
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,7,3.15773,5.29666,21.2258,3.64032,33.449,33.3206
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,8,3.16675,5.29189,21.2427,3.63725,33.467,33.3386
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,9,3.16115,5.29553,21.2385,3.63418,33.4576,33.3293
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,10,3.15632,5.29215,21.2533,3.65261,33.4837,33.3543
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,11,3.15322,5.2899,21.2527,3.64749,33.4735,33.3433
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,12,3.16416,5.293,21.2284,3.63725,33.4501,33.3228
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,13,3.14832,5.29079,21.2289,3.6311,33.429,33.2992
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,14,3.16054,5.29344,21.2388,3.63315,33.4538,33.326
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,15,3.1735,5.29657,21.2306,3.64954,33.4793,33.3502
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,16,3.16643,5.29606,21.2284,3.64442,33.4624,33.3353
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,17,3.15402,5.29062,21.2369,3.63315,33.4431,33.3147
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,18,3.15498,5.29344,21.2219,3.64544,33.4463,33.3158
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,19,3.15219,5.29572,21.2457,3.63418,33.459,33.3278
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,20,3.16362,5.29455,21.2383,3.64646,33.4745,33.3429
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,21,3.16291,5.29424,21.2249,3.63827,33.4529,33.3204
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,22,3.16611,5.30709,21.2465,3.6393,33.488,33.359
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,23,3.15027,5.29573,21.2362,3.63725,33.4483,33.3195
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,24,3.15453,5.29723,21.2438,3.6393,33.4639,33.3349
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,25,3.15734,5.2936,21.2384,3.64134,33.4599,33.3307
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,26,3.16163,5.29388,21.2385,3.6393,33.4616,33.3333
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,27,3.16691,5.2918,21.2225,3.64544,33.4572,33.3267
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,28,3.16013,5.29325,21.2267,3.64442,33.4545,33.3245
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,29,3.15978,5.29461,21.2301,3.63008,33.443,33.3145
