dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,0,1.58086,567.794,3.74903,1.92307,574.94,575.047
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,1,0.60128,440.829,3.74219,1.29434,443.272,446.467
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,2,0.597792,422.792,3.70238,1.29741,428.267,428.389
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,3,0.605728,419.282,3.731,1.30048,424.818,424.92
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,4,0.603488,416.512,3.37292,1.29331,421.695,421.781
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,5,0.603168,416.005,3.73443,1.28922,421.503,421.632
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,6,0.59936,416.114,3.69445,1.28717,421.548,421.695
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,7,0.605248,412.526,3.68787,1.28922,418.029,418.108
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,8,0.621216,411.368,3.39121,1.1601,416.246,416.541
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,9,0.598816,413.549,3.68721,1.28307,402.366,419.118
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,10,0.604064,414.005,3.37779,1.2841,417.374,419.271
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,11,0.606176,411.132,3.68623,1.3056,406.173,416.73
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,12,0.620064,412.55,3.3765,1.15702,417.201,417.704
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,13,0.606272,411.594,3.73275,1.29331,417.195,417.226
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,14,0.60352,413.221,3.71891,1.2841,418.707,418.827
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,15,0.604352,416.766,3.37686,1.29024,417.832,422.038
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,16,0.60416,413.131,3.7231,1.29331,418.59,418.751
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,17,0.606272,413.892,3.71955,1.28922,418.559,419.507
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,18,0.601536,413.375,3.67914,1.29229,417.733,418.948
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,19,0.6032,413.924,3.39598,1.28717,419.076,419.211
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,20,0.61648,413.172,3.39219,1.15805,418.083,418.338
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,21,0.601824,415.386,3.38766,1.29331,420.579,420.669
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,22,0.598944,412.357,3.65942,1.28512,417.123,417.901
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,23,0.616416,412.63,3.69956,1.28922,418.115,418.235
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,24,0.618464,413.338,3.40365,1.15498,418.362,418.515
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,25,0.6272,411.747,3.39013,1.15805,416.893,416.923
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,26,0.613216,632.301,3.39482,1.16118,580.318,637.47
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,27,0.621824,501.571,3.38893,1.1632,464.14,506.745
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,28,0.612672,462.812,3.39013,1.16112,425.645,467.976
3,float,uniform,GPU,"P | P | P | P | D | N",6,512,29,0.62016,438.939,3.39028,1.15808,437.016,444.107
