dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,0,3.32739,36.2044,17.1044,7.2919,64.0835,63.9281
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,1,2.88419,30.0618,16.8815,7.16083,57.0515,56.9883
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,2,2.8776,30.0768,16.7858,7.17414,56.9772,56.9143
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,3,2.87526,30.2801,16.8168,7.18541,57.246,57.1576
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,4,2.87069,30.2546,16.7488,7.17107,57.1292,57.0452
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,5,2.86656,30.1592,16.8417,7.18746,57.1434,57.0549
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,6,2.87005,30.1329,16.8181,7.19565,57.1035,57.0167
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,7,2.8703,30.0437,16.6711,7.18131,56.8483,56.7664
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,8,2.88358,30.0342,16.7426,7.17517,56.9185,56.8355
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,9,2.8792,30.1287,16.8764,7.16288,57.1232,57.0472
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,10,2.86947,30.1755,16.8736,7.18848,57.1993,57.107
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,11,2.87862,30.1629,16.8449,7.15162,57.1219,57.038
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,12,2.86909,30.0463,16.8677,7.1721,57.0405,56.9552
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,13,2.87184,30.1034,16.8079,7.18336,57.0577,56.9665
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,14,2.87866,30.2674,16.7544,7.17517,57.1443,57.0756
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,15,2.87251,30.027,16.8893,7.16698,57.0426,56.9558
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,16,2.86918,30.0439,16.622,7.17722,56.7775,56.7123
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,17,2.87818,30.1127,16.8611,7.17312,57.1095,57.025
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,18,2.87018,30.0432,16.8986,7.17824,57.0803,56.9902
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,19,2.87309,30.0874,16.7861,7.18438,57.0198,56.931
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,20,2.88,30.1333,16.9612,7.17926,57.2234,57.1538
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,21,2.87488,30.0833,16.8555,7.16595,57.0635,56.9797
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,22,2.87654,30.2605,16.6284,7.17005,57.0232,56.9355
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,23,2.89123,30.1371,16.8516,7.19053,57.1852,57.0704
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,24,2.86182,30.0604,16.8009,7.19565,57.0073,56.9187
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,25,2.87126,30.019,16.8459,7.19974,57.0207,56.9359
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,26,2.87411,30.1356,16.7299,7.18234,57.0075,56.922
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,27,2.8753,30.088,16.9428,7.15366,57.1335,57.0597
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,28,2.86746,30.0109,16.8733,7.18541,57.0253,56.9371
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,29,2.87069,30.203,16.8036,7.15878,57.0981,57.0361
