dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,0,228.309,23.5632,24.8356,3.23994,278.584,279.948
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,1,225.384,17.8612,22.9906,3.06278,269.278,269.298
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,2,226.295,17.6702,21.91,3.04128,269.001,268.917
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,3,229.028,17.8051,21.822,3.0464,269.87,271.702
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,4,227.003,17.7619,21.8949,3.04026,268.185,269.7
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,5,226.31,17.8098,21.8326,3.04333,268.151,268.996
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,6,230.359,17.684,21.8048,3.03923,272.244,272.887
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,7,226.936,18.0743,21.8539,3.04538,269.932,269.909
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,8,226.535,17.7431,21.7197,3.05152,269.138,269.049
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,9,226.901,17.7165,21.8696,3.04435,268.696,269.532
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,10,226.117,17.7228,21.8643,3.04538,268.841,268.749
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,11,225.633,17.7724,21.8341,3.0505,268.376,268.289
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,12,228.434,17.6768,21.8636,3.04026,269.969,271.014
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,13,227.825,17.8121,21.8194,3.04845,269.804,270.505
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,14,225.022,17.6896,21.887,3.04538,267.227,267.644
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,15,226.399,17.7661,21.8583,3.04026,269.15,269.064
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,16,227.671,17.6853,21.8964,3.0423,269.631,270.295
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,17,226.252,17.8635,21.905,3.04333,268.976,269.064
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,18,226.232,17.7317,21.8689,3.04435,268.96,268.877
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,19,226.096,17.7464,21.8354,3.04538,267.266,268.723
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,20,227.503,17.7191,21.872,3.0464,269.266,270.141
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,21,227.794,17.7086,21.8728,3.04742,270.51,270.423
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,22,224.841,17.8326,21.8462,3.04742,267.426,267.567
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,23,226.043,17.7113,21.9067,3.04026,267.486,268.701
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,24,226.848,17.8424,21.7958,3.04742,269.109,269.534
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,25,226.625,17.7715,21.8593,3.04435,268.866,269.301
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,26,227.212,17.6807,21.8814,3.04947,268.589,269.823
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,27,227.746,17.7611,21.8441,3.04333,268.352,270.395
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,28,227.602,17.649,21.8603,3.04947,269.326,270.161
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,29,227.715,17.7552,21.8183,3.05152,267.996,270.34
