dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,0,1.65424,0,1442.75,1.85341,1446.01,1446.26
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,1,0.619456,0,932.384,1.25024,933.852,934.254
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,2,0.61872,0,879.223,1.27584,880.855,881.118
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,3,0.622144,0,899.022,1.23597,900.585,900.88
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,4,0.632,0,919.334,1.2431,920.979,921.209
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,5,0.613088,0,874.459,1.25533,876.022,876.328
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,6,0.611168,0,869.458,1.23795,871.01,871.307
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,7,0.61904,0,876.094,1.24099,877.619,877.954
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,8,0.625696,0,878.818,1.24205,880.43,880.685
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,9,0.626016,0,874.308,1.25843,875.9,876.192
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,10,0.616704,0,885.737,1.22672,887.281,887.58
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,11,0.621216,0,871.929,1.24918,873.498,873.799
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,12,0.62016,0,875.93,1.23075,877.489,877.781
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,13,0.616096,0,877.52,1.24406,879.069,879.38
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,14,0.626464,0,883.316,1.23286,884.87,885.175
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,15,0.628448,0,870.057,1.2472,871.678,871.932
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,16,0.618944,0,874.47,1.22771,876.03,876.317
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,17,0.61024,0,875.176,1.22874,876.715,877.015
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,18,0.624896,0,879.473,1.23693,881.024,881.335
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,19,0.618432,0,877.384,1.2359,878.92,879.239
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,20,0.618336,0,880.065,1.24304,881.632,881.926
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,21,0.628032,0,875.702,1.23078,877.261,877.561
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,22,0.619744,0,873.992,1.24003,875.546,875.852
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,23,0.62064,0,878.591,1.22675,880.156,880.438
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,24,0.609024,0,879.209,1.23283,880.731,881.051
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,25,0.62576,0,878.714,1.23699,880.268,880.577
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,26,0.615616,0,882.019,1.22877,883.575,883.863
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,27,0.624768,0,877.237,1.24208,878.823,879.104
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,28,0.61328,0,861.471,1.23491,863.021,863.319
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,29,0.624192,0,875.811,1.24816,877.442,877.683
