dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,0,63.1624,0,5163.97,1.88621,5222.55,5229.02
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,1,62.9292,0,3392.65,1.024,3426.05,3456.6
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,2,63.4444,0,3180.15,1.04243,3243.82,3244.64
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,3,62.6174,0,3169.37,1.03014,3233.12,3233.02
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,4,62.6562,0,3400.89,1.03427,3437.9,3464.58
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,5,62.5922,0,3414.78,1.03424,3449.23,3478.41
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,6,62.8152,0,3159.45,1.02605,3223.4,3223.29
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,7,62.6984,0,3167.91,1.03936,3231.78,3231.64
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,8,62.618,0,3167.28,1.03322,3226.82,3230.93
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,9,63.6006,0,3169.59,1.02707,3232.34,3234.22
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,10,62.8568,0,3176.84,1.03014,3240.87,3240.73
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,11,62.7574,0,3162.27,1.03526,3226.17,3226.06
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,12,62.6609,0,3373,1.03322,3406.07,3436.69
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,13,62.837,0,3171.69,1.0199,3234.87,3235.55
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,14,62.86,0,3164.06,1.024,3228.05,3227.94
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,15,62.4375,0,3158.21,1.03117,3217.27,3221.68
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,16,63.4295,0,3170.62,1.03424,3234.61,3235.09
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,17,62.4234,0,3155.06,1.02605,3216.13,3218.51
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,18,62.7269,0,3152.68,1.03117,3215.85,3216.44
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,19,62.7414,0,3173.63,1.02502,3236.95,3237.39
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,20,63.4931,0,3175.5,1.04858,3235.11,3240.04
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,21,62.6871,0,3199.22,1.02707,3262.39,3262.94
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,22,62.445,0,3204.02,1.0199,3267.59,3267.49
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,23,62.6844,0,3177.86,1.02298,3241.67,3241.57
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,24,62.7968,0,3162.83,1.02707,3226.76,3226.65
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,25,62.748,0,3174.59,1.02698,3238.47,3238.36
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,26,62.8354,0,3162.13,1.0281,3224.89,3225.99
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,27,62.5417,0,3377.67,1.03424,3409.67,3441.24
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,28,62.6409,0,3167.97,1.0281,3230.8,3231.64
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,29,63.474,0,3164.15,1.01683,3228.75,3228.64
