dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,0,0.812704,0,5240.75,1.82784,5230.95,5243.39
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,1,0.727776,0,3322.12,1.03219,3310.53,3323.88
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,2,0.7336,0,3305.4,1.04448,3291.07,3307.18
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,3,0.7184,0,3300.44,1.024,3288.45,3302.19
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,4,0.755488,0,3292.81,1.03632,3281.59,3294.6
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,5,0.750016,0,3296.35,1.03629,3282.51,3298.14
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,6,0.724544,0,3552.42,1.03936,3490.76,3554.18
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,7,0.735904,0,3297.58,1.03117,3286.29,3299.34
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,8,0.712096,0,3292.02,1.03219,3280.67,3293.77
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,9,0.725056,0,3291.92,1.02707,3278.88,3293.67
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,10,0.727264,0,3343.12,1.03014,3327.87,3344.87
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,11,0.721056,0,3332.16,1.0281,3319.63,3333.91
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,12,0.729536,0,3538.48,1.04346,3476.53,3540.25
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,13,0.723744,0,3309.12,1.02707,3296.07,3310.87
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,14,0.724896,0,3311.48,1.02605,3297.34,3313.23
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,15,0.722752,0,3290.25,1.02605,3278.06,3292
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,16,0.737792,0,3542.8,1.03734,3475.52,3544.57
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,17,0.723744,0,3296.38,1.03629,3285.17,3298.14
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,18,0.72512,0,3279.88,1.02397,3269.9,3281.63
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,19,0.726688,0,3293.02,1.03219,3279.15,3294.78
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,20,0.71328,0,3275.99,1.03222,3266.16,3277.73
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,21,0.725216,0,3274.66,1.02195,3265.78,3276.41
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,22,0.715584,0,3291.72,1.024,3282.73,3293.46
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,23,0.72448,0,3290.61,1.03219,3279.41,3292.37
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,24,0.726432,0,3286.28,1.0281,3273.75,3288.03
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,25,0.726336,0,3278.32,1.02605,3267.56,3280.07
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,26,0.736544,0,3289.74,1.03424,3278.93,3291.51
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,27,0.72704,0,3281.96,1.03936,3271.74,3283.73
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,28,0.723168,0,3295.8,1.03322,3285.47,3297.55
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,29,0.7248,0,3275.47,1.02093,3267.24,3277.22
