dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,0,6.15178,10.5415,60.6959,14.4179,91.9296,91.8071
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,1,5.69936,10.5371,56.6039,14.3084,87.2889,87.1487
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,2,5.67066,10.5323,55.2545,14.3391,85.9378,85.7965
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,3,5.67997,10.5363,55.1925,14.3493,85.8958,85.7581
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,4,5.67786,10.5323,55.2508,14.3585,85.9587,85.8195
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,5,5.68218,10.5356,55.4916,14.3954,86.2455,86.1047
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,6,5.67971,10.5356,55.5542,14.3749,86.2838,86.1445
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,7,5.68,10.533,55.472,14.3411,86.1661,86.0261
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,8,5.67328,10.5356,55.1863,14.337,85.8716,85.7322
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,9,5.66973,10.5328,55.5973,14.3452,86.2837,86.145
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,10,5.68525,10.5393,55.3869,14.3944,86.145,86.0058
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,11,5.66678,10.535,55.4247,14.3872,86.1518,86.0137
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,12,5.68323,10.5326,55.5634,14.3165,86.2333,86.0958
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,13,5.67418,10.5337,55.28,14.3811,86.0081,85.869
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,14,5.68483,10.5373,55.5187,14.3432,86.225,86.084
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,15,5.66387,10.5398,55.433,14.38,86.1567,86.0167
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,16,5.66656,10.5351,55.1357,14.338,85.8137,85.6754
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,17,5.67981,10.5362,55.2999,14.3626,86.0182,85.8785
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,18,5.6784,10.5352,55.5061,14.3514,86.2104,86.0711
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,19,5.67712,10.5361,55.2855,14.335,85.9736,85.8337
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,20,5.68886,10.5349,55.6352,14.3247,86.3214,86.1837
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,21,5.68317,10.537,55.2547,14.3575,85.9708,85.8324
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,22,5.6761,10.537,55.3664,14.3759,86.0971,85.9555
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,23,5.67261,10.5393,54.7689,14.3596,85.4778,85.3403
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,24,5.68467,10.5359,55.5704,14.3503,86.2803,86.1413
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,25,5.67069,10.5317,55.3116,14.3452,85.9975,85.8592
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,26,5.67114,10.5312,55.5579,14.377,86.2783,86.1372
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,27,5.6825,10.5323,55.5193,14.377,86.2501,86.1111
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,28,5.67802,10.5339,55.1828,14.3995,85.9316,85.7942
3,double,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,29,5.68013,10.5335,55.5799,14.3493,86.2823,86.1428
