dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,0,5.57165,0,184.165,14.8183,204.688,204.555
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,1,5.53866,0,35.1824,14.3022,55.1584,55.0233
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,2,5.53667,0,35.5127,14.2807,55.4636,55.3301
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,3,5.53635,0,35.2267,14.3237,55.2214,55.0867
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,4,5.53539,0,34.959,14.2848,54.9133,54.7792
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,5,5.53533,0,35.5318,14.2643,55.4659,55.3314
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,6,5.53738,0,35.3901,14.2776,55.337,55.2051
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,7,5.53638,0,35.4469,14.3084,55.4281,55.2916
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,8,5.54195,0,35.1761,14.3073,55.1611,55.0254
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,9,5.5367,0,35.452,14.3155,55.4403,55.3042
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,10,5.53427,0,35.4766,14.3073,55.4517,55.3182
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,11,5.53786,0,35.6118,14.2879,55.5716,55.4375
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,12,5.53664,0,35.9578,14.3073,55.937,55.8018
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,13,5.53632,0,35.5186,14.2582,55.4473,55.3131
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,14,5.53526,0,35.4064,14.3053,55.3798,55.2469
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,15,5.53782,0,36.1625,14.3022,56.1368,56.0026
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,16,5.53606,0,35.3052,14.3309,55.3074,55.1721
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,17,5.53309,0,35.492,14.2899,55.4477,55.3151
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,18,5.53674,0,35.5582,14.2623,55.4908,55.3572
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,19,5.53718,0,34.9973,14.2725,54.9406,54.807
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,20,5.53424,0,35.2314,14.3043,55.2037,55.0699
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,21,5.53677,0,35.5712,14.295,55.5396,55.403
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,22,5.53261,0,35.3949,14.2664,55.3284,55.1939
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,23,5.53942,0,35.9649,14.3012,55.9406,55.8055
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,24,5.53498,0,35.4419,14.2336,55.3458,55.2105
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,25,5.53738,0,34.9751,14.295,54.9431,54.8075
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,26,5.53549,0,35.4357,14.2684,55.3765,55.2396
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,27,5.53917,0,35.9753,14.292,55.9411,55.8064
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,28,5.53677,0,35.41,14.3155,55.4038,55.2623
3,double,uniform,GPU,"P | P | P | P | P | P",1,512,29,5.53382,0,35.1869,14.3278,55.1821,55.0485
