dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,0,0.810432,684.016,3.66353,1.50522,690.13,689.996
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,1,0.722912,685.488,3.64386,0.880608,690.843,690.735
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,2,0.724672,687.081,3.67819,0.877504,692.471,692.361
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,3,0.727072,672.994,3.64883,0.88064,678.36,678.25
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,4,0.724544,676.823,3.67318,0.88064,682.207,682.101
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,5,0.724832,671.924,3.5995,0.88064,677.256,677.129
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,6,0.73328,664.577,3.63996,0.876512,669.935,669.827
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,7,0.723392,659.914,3.64545,0.874496,665.266,665.157
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,8,0.7384,671.121,3.65314,0.884672,676.529,676.397
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,9,0.729312,681.343,3.69574,0.88672,686.763,686.654
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,10,0.727168,654.028,3.65554,0.876544,659.395,659.287
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,11,0.724416,666.17,3.66984,0.879552,671.55,671.444
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,12,0.726048,667.243,3.64747,0.877536,672.601,672.494
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,13,0.732928,693.631,3.64349,0.879584,698.995,698.887
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,14,0.722432,664.397,3.64444,0.876512,669.749,669.64
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,15,0.725536,661.333,3.65726,0.890816,666.713,666.607
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,16,0.723584,660.676,3.64699,0.879584,666.034,665.926
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,17,0.72448,656.448,3.63986,0.8776,661.798,661.69
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,18,0.725408,674.089,3.63434,0.874464,679.43,679.324
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,19,0.722688,660.109,3.68198,0.877568,665.497,665.391
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,20,0.725216,663.28,3.67246,0.884768,668.669,668.562
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,21,0.723136,669.381,3.66951,0.87552,674.758,674.649
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,22,0.732704,682.017,3.66301,0.874496,687.402,687.288
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,23,0.724032,675.942,3.67614,0.876544,681.333,681.219
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,24,0.725664,676.291,3.63878,0.879552,681.641,681.535
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,25,0.732576,678.938,3.57776,0.87856,684.183,684.127
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,26,0.722816,666.615,3.63977,0.895968,671.996,671.874
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,27,0.723744,689.029,3.67042,0.878592,694.408,694.302
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,28,0.72464,672.998,3.66241,0.876512,678.369,678.262
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,29,0.723072,680.357,3.64425,0.875488,685.708,685.599
