dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,0,6.13398,10.54,70.4712,6.24845,93.5039,93.3936
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,1,5.71779,10.5354,64.5819,6.02214,86.9895,86.8573
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,2,5.72224,10.5366,61.6243,5.98835,83.9952,83.8715
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,3,5.69965,10.537,61.5541,5.98733,83.9098,83.7781
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,4,5.71021,10.5334,61.3958,5.98426,83.7526,83.6236
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,5,5.71107,10.5338,61.2559,5.98733,83.6178,83.4881
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,6,5.70006,10.5319,61.4433,5.98528,83.7891,83.6606
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,7,5.70422,10.5334,61.4669,5.9904,83.8267,83.6949
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,8,5.72662,10.5454,61.3295,5.99552,83.7276,83.5971
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,9,5.70784,10.5331,61.4242,6.00474,83.8009,83.6699
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,10,5.70893,10.5359,61.5956,5.9904,83.9611,83.8308
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,11,5.71408,10.5379,61.5919,5.97709,83.9521,83.821
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,12,5.70918,10.5339,61.4316,6.00576,83.8092,83.6805
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,13,5.71782,10.5345,61.563,6.00576,83.9507,83.8211
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,14,5.71114,10.5308,61.4068,5.98426,83.7635,83.6331
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,15,5.70717,10.5394,61.5406,5.9945,83.9113,83.7817
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,16,5.70813,10.5338,61.5986,5.9863,83.9563,83.8268
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,17,5.70598,10.5368,61.4006,6.00064,83.7734,83.6441
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,18,5.72006,10.5333,61.4087,5.98733,83.7807,83.6494
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,19,5.71142,10.5331,61.405,5.98938,83.7698,83.6389
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,20,5.7064,10.5335,61.3374,5.97606,83.6829,83.5534
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,21,5.71869,10.5334,61.3923,5.98528,83.7587,83.6297
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,22,5.71894,10.5358,61.5694,5.98938,83.9406,83.8134
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,23,5.71034,10.5331,61.5271,6.00781,83.9082,83.7784
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,24,5.69552,10.5367,61.4966,5.99245,83.8521,83.7213
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,25,5.70301,10.5335,61.4104,5.98835,83.7658,83.6353
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,26,5.69562,10.5321,61.4039,5.97402,83.7365,83.6056
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,27,5.70573,10.5366,61.3763,6.00576,83.7545,83.6244
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,28,5.69952,10.5348,61.6137,5.98221,83.9719,83.8302
3,double,uniform,GPU,"D | D | D | D | N | D",1,512,29,5.70115,10.5323,61.5259,5.98733,83.8758,83.7467
