dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,0,84.3363,1632.57,6.71016,3.41395,1704.48,1727.03
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,1,84.3174,1576.1,6.73358,2.48314,1650.81,1669.64
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,2,84.1325,1578.15,6.66906,2.45654,1651.93,1671.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,3,84.8663,1539.41,6.66221,2.45443,1625.56,1633.39
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,4,84.2046,1559.53,6.70139,2.45958,1653.05,1652.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,5,83.997,1525.53,6.71915,2.47085,1614.11,1618.72
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,6,83.8302,1569.62,6.75542,2.47494,1662.86,1662.68
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,7,83.8188,1534.69,6.66355,2.45238,1627.05,1627.63
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,8,84.4613,1556.4,6.6612,2.44934,1620.18,1649.97
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,9,84.106,1574.21,6.66233,2.45034,1662.78,1667.43
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,10,84.954,1547.04,6.69913,2.47597,1641.34,1641.17
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,11,84.1711,1704.7,6.70529,2.45955,1798.19,1798.03
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,12,84.7994,1582.62,6.69501,2.45856,1676.72,1676.57
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,13,84.1623,1537.21,6.65874,2.45248,1624.25,1630.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,14,84.0502,1513.87,6.76384,2.48928,1607.32,1607.18
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,15,83.7918,1545.85,6.65438,2.45139,1622,1638.74
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,16,85.1048,1684.87,6.66847,2.45043,1748.35,1779.1
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,17,84.9813,1594.61,6.65987,2.45446,1669.88,1688.71
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,18,83.9746,1515.45,6.66336,2.45443,1607.98,1608.55
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,19,84.3216,1530.54,6.65586,2.45037,1611.02,1623.97
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,20,83.5152,1575.91,6.69301,2.45654,1668.73,1668.58
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,21,84.0432,1569.07,6.71313,2.46474,1644.95,1662.29
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,22,84.1248,1550.18,6.71968,2.45654,1643.63,1643.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,23,83.9911,1547.01,6.69059,2.4545,1640.29,1640.14
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,24,83.978,1574.74,6.68562,2.45651,1668.02,1667.86
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,25,83.9759,1550.46,6.65659,2.45446,1636.59,1643.54
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,26,84.7717,1538.61,6.6563,2.45139,1628.02,1632.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,27,84.1967,1554.11,6.66735,2.45344,1646.73,1647.42
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,28,84.1087,1541.25,6.66399,2.45242,1626.17,1634.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,29,84.3354,1532.33,6.66455,2.4545,1613.35,1625.78
