dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,0,6.11037,10.5459,59.2425,14.4466,90.4811,90.3454
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,1,5.6832,10.5321,57.5586,14.3124,88.2263,88.0864
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,2,5.68269,10.5361,55.5422,14.3749,86.2768,86.1359
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,3,5.68029,10.5345,55.2802,14.3104,85.9442,85.8053
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,4,5.68099,10.5351,55.2933,14.3636,86.0125,85.873
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,5,5.70016,10.538,55.5318,14.3329,86.2415,86.1029
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,6,5.68758,10.5361,55.3398,14.337,86.0408,85.9005
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,7,5.6887,10.5329,55.294,14.2991,85.9544,85.8148
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,8,5.6896,10.5372,55.5119,14.3626,86.2389,86.1013
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,9,5.67034,10.5337,55.5992,14.3227,86.2627,86.1259
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,10,5.67018,10.5373,55.5317,14.3196,86.1972,86.0588
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,11,5.6751,10.5367,55.5221,14.3114,86.1851,86.0453
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,12,5.68048,10.535,55.2312,14.3176,85.9035,85.7642
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,13,5.67043,10.536,55.4458,14.3544,86.1467,86.0067
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,14,5.68525,10.5348,55.7188,14.295,86.3731,86.2339
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,15,5.67379,10.5356,55.4238,14.335,86.1109,85.9681
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,16,5.68067,10.5368,55.7256,14.3411,86.4269,86.2842
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,17,5.68016,10.5379,55.3408,14.3503,86.0477,85.9092
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,18,5.66915,10.5354,55.5916,14.3882,86.3258,86.1844
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,19,5.66269,10.5323,55.4954,14.3237,86.1554,86.0141
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,20,5.69389,10.5337,55.3258,14.3022,85.9969,85.8556
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,21,5.67427,10.5353,55.4556,14.2899,86.0958,85.9551
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,22,5.67613,10.5378,55.2565,14.3544,85.968,85.8248
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,23,5.67162,10.5355,55.6176,14.3514,86.3162,86.1761
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,24,5.66493,10.5407,55.0245,14.3544,85.7249,85.5845
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,25,5.69219,10.5342,55.42,14.3237,86.1104,85.9701
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,26,5.66394,10.5353,55.4516,14.3534,86.1451,86.0043
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,27,5.68096,10.5367,55.3803,14.3811,86.1169,85.979
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,28,5.66733,10.5353,55.5102,14.3493,86.2024,86.0622
3,double,uniform,GPU,"P | P | P | P | D | N",1,512,29,5.65792,10.5384,55.5392,14.3442,86.2216,86.0797
