dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,0,43.0352,0,2600.25,1.23904,2644.7,2644.52
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,1,43.3657,0,2173.24,0.708576,2217.42,2217.31
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,2,42.7927,0,2182.53,0.691136,2226.11,2226.01
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,3,42.0163,0,2161.75,0.705536,2204.6,2204.48
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,4,42.8225,0,2168.86,0.689152,2212.47,2212.37
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,5,41.8552,0,2159.39,0.70144,2202.07,2201.94
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,6,41.7437,0,2142.6,0.70144,2185.15,2185.05
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,7,42.8489,0,2150.52,0.693248,2194.19,2194.06
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,8,41.6844,0,2157.12,0.695296,2199.6,2199.5
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,9,41.8242,0,2168.83,0.705536,2211.48,2211.36
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,10,41.8754,0,2151.55,0.695296,2194.23,2194.12
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,11,41.7693,0,2164.55,0.6912,2207.12,2207.01
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,12,41.8237,0,2153.44,0.68608,2196.05,2195.95
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,13,43.9251,0,2164.71,0.699328,2209.49,2209.34
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,14,41.8799,0,2284.63,0.698368,2300.28,2327.21
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,15,41.8225,0,2171.2,0.6912,2213.81,2213.71
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,16,42.3002,0,2157.39,0.707584,2198.78,2200.4
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,17,41.7377,0,2153.4,0.692224,2195.94,2195.83
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,18,41.7958,0,2277.23,0.695296,2297.89,2319.72
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,19,41.668,0,2162.53,0.690144,2204.99,2204.89
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,20,41.9293,0,2162.59,0.6912,2205.31,2205.21
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,21,41.8975,0,2285.01,0.694272,2298.48,2327.61
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,22,41.9595,0,2156.24,0.699392,2199.02,2198.9
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,23,41.9364,0,2161.71,0.700416,2204.44,2204.35
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,24,41.8437,0,2161.18,0.693248,2203.82,2203.72
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,25,41.7888,0,2146.57,0.689056,2189.15,2189.04
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,26,41.6362,0,2143.19,0.69424,2185.62,2185.52
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,27,41.7272,0,2152.62,0.694272,2195.14,2195.04
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,28,41.8036,0,2158.12,0.699392,2200.74,2200.62
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,29,41.7481,0,2155.53,0.694304,2198.07,2197.97
