dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,0,2.05235,22.2357,12.4992,4.01101,40.9305,40.7982
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,1,1.63642,16.2126,12.422,3.83898,34.196,34.11
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,2,1.62678,16.2022,12.4084,3.80518,34.1193,34.0426
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,3,1.62205,16.1912,12.4156,3.83488,34.1511,34.0637
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,4,1.61565,16.1928,12.4234,3.81338,34.1329,34.0452
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,5,1.62307,16.2001,12.4466,3.79904,34.157,34.0689
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,6,1.62928,16.2075,12.4424,3.81645,34.1727,34.0956
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,7,1.62365,16.2057,12.4537,3.83693,34.2124,34.12
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,8,1.62525,16.2708,12.3686,3.80109,34.152,34.0657
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,9,1.62192,16.204,12.3713,3.8144,34.0994,34.0117
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,10,1.62205,16.1924,12.4057,3.8144,34.1206,34.0345
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,11,1.62646,16.1916,12.375,3.82157,34.1016,34.0146
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,12,1.62141,16.184,12.3518,3.82259,34.0647,33.9799
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,13,1.62678,16.1918,12.3682,3.81133,34.0849,33.9981
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,14,1.62624,16.1905,12.4643,3.81747,34.1831,34.0985
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,15,1.62682,16.1943,12.3615,3.81952,34.0916,34.0021
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,16,1.62038,16.1925,12.4436,3.81235,34.1586,34.0688
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,17,1.61837,16.1816,12.4557,3.82771,34.1671,34.0833
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,18,1.62051,16.1948,12.4026,3.8144,34.1191,34.0323
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,19,1.62739,16.1825,12.426,3.82874,34.1499,34.0646
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,20,1.62912,16.1919,12.4039,3.81645,34.1259,34.0413
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,21,1.62624,16.1917,12.3954,3.82669,34.1342,34.04
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,22,1.6176,16.2053,12.4203,3.82566,34.1554,34.0689
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,23,1.61648,16.1847,12.4318,3.82976,34.15,34.0628
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,24,1.62288,16.2095,12.421,3.80826,34.1499,34.0617
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,25,1.63782,16.1896,12.445,3.83283,34.1921,34.1052
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,26,1.62269,16.1814,12.4317,3.81542,34.135,34.0512
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,27,1.61955,16.1824,12.4939,3.80928,34.1913,34.1051
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,28,1.62531,16.211,12.359,3.80826,34.0903,34.0036
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",2,512,29,1.61488,16.1799,12.4331,3.82464,34.1375,34.0525
