dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,0,1.07277,559.731,3.65373,1.51142,552.017,565.969
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,1,0.60256,425.213,3.61689,1.28717,424.587,430.719
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,2,0.603392,415.164,3.6432,1.29229,420.581,420.702
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,3,0.60576,421.595,3.37211,1.28614,426.733,426.859
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,4,0.605984,419.543,3.3849,1.28922,418.902,424.823
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,5,0.602528,418.051,3.66006,1.28,423.383,423.594
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,6,0.60288,417.818,3.68461,1.28922,415.711,423.394
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,7,0.600512,413.223,3.38163,1.30355,414.806,418.509
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,8,0.620928,411.929,3.39244,1.16013,416.02,417.103
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,9,0.603296,413.044,3.66219,1.28307,418.284,418.593
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,10,0.59984,419.102,3.69375,1.29638,424.623,424.692
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,11,0.599488,414.238,3.37789,1.29638,419.414,419.512
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,12,0.622272,420.322,3.43661,1.17139,413.204,425.552
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,13,0.62464,414.234,3.38719,1.1591,413.149,419.405
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,14,0.601344,416.448,3.38747,1.29638,421.204,421.733
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,15,0.615136,619.869,3.37604,1.15706,414.008,625.018
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,16,0.603168,429.161,3.36772,1.29126,434.325,434.424
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,17,0.607584,419.477,3.60226,1.29536,424.886,424.982
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,18,0.597856,412.444,3.66207,1.29946,417.98,418.003
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,19,0.605664,416.96,3.65363,1.28819,422.352,422.508
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,20,0.600544,413.628,3.36983,1.29946,418.724,418.897
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,21,0.601248,417.633,3.35463,1.29638,417.425,422.885
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,22,0.603008,413.047,3.65617,1.28205,416.04,418.588
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,23,0.614208,411.826,3.41207,1.15501,417.114,417.008
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,24,0.617536,413.498,3.3868,1.15808,418.306,418.66
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,25,0.602208,413.072,3.37681,1.29741,418.206,418.348
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,26,0.608704,411.977,3.37897,1.28819,416.083,417.253
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,27,0.603424,413.488,3.36811,1.29126,418.607,418.751
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,28,0.620032,413.018,3.40837,1.15805,418.317,418.205
3,float,uniform,GPU,"P | P | P | P | N | D",6,512,29,0.598272,412.695,3.63182,1.29229,418.069,418.217
