dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,0,83.6804,1621.52,6.75018,3.4929,1712.9,1715.44
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,1,84.0429,1571.59,6.70397,2.46163,1651.58,1664.8
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,2,83.7942,1533.85,6.7533,2.47082,1624.99,1626.87
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,3,84.251,1568.45,6.68723,2.45242,1660.21,1661.84
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,4,85.0311,1530.05,6.72134,2.45552,1624.41,1624.26
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,5,84.0555,1534.03,6.74256,2.46883,1626.35,1627.3
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,6,83.8495,1507.57,6.78281,2.48006,1600.86,1600.68
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,7,84.9019,1497.59,6.75101,2.45558,1591.85,1591.7
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,8,84.165,1528.64,6.68659,2.45347,1613.88,1621.95
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,9,83.9081,1510.96,6.68942,2.45443,1600.82,1604.01
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,10,84.8872,1551.36,6.69305,2.45136,1636.74,1645.39
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,11,83.6994,1510.3,6.74646,2.47494,1602.47,1603.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,12,84.8358,1548.05,6.69003,2.45238,1638.38,1642.03
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,13,83.7535,1523.22,6.6917,2.45142,1610.9,1616.12
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,14,83.9947,1531.97,6.68909,2.45446,1624.73,1625.11
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,15,84.8515,1510.29,6.72342,2.46474,1604.48,1604.33
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,16,83.5916,1541.73,6.71616,2.45443,1634.65,1634.49
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,17,84.7788,1522.3,6.69743,2.45245,1613.8,1616.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,18,83.8348,1564.04,6.74689,2.46989,1657.26,1657.09
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,19,84.112,1533.7,6.68849,2.4545,1599.11,1626.95
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,20,83.6721,1535.39,6.74721,2.45344,1628.44,1628.27
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,21,83.5188,1531.77,6.71323,2.45754,1624.61,1624.46
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,22,84.6702,1548.6,6.73014,2.45443,1642.61,1642.45
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,23,83.5698,1501.18,6.68926,2.44931,1588.89,1593.88
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,24,84.8822,1528.18,6.69003,2.45034,1618.89,1622.21
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,25,83.785,1546.73,6.68778,2.44838,1618.76,1639.65
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,26,83.4633,1528.1,6.72302,2.45245,1620.89,1620.74
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,27,83.9152,1510.42,6.68444,2.45658,1596.47,1603.47
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,28,83.4099,1552.25,6.79053,2.46883,1645.08,1644.92
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,29,83.5152,1515.28,6.71184,2.45347,1608.11,1607.96
