dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,0,1.40502,1133.95,3.82385,2.06333,1141.44,1141.24
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,1,0.742016,981.068,3.92649,1.80941,979.996,987.546
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,2,0.744288,962.281,3.88039,1.7961,965.04,968.701
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,3,0.744448,945.068,3.90336,1.79814,942.224,951.514
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,4,0.75696,962.263,3.88934,1.81043,967.764,968.72
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,5,0.74112,940.486,3.90154,1.80531,946.428,946.934
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,6,0.74128,942.941,3.90235,1.80326,949.318,949.388
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,7,0.740256,954.218,3.89438,1.77254,957.852,960.625
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,8,0.74288,937.014,3.89236,1.80429,943.236,943.453
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,9,0.744416,951.349,3.90767,1.79917,954.477,957.8
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,10,0.74176,950.892,3.88203,1.792,948.599,957.308
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,11,0.754848,949.348,3.88849,1.79405,944.822,955.785
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,12,0.757504,967.83,3.88318,1.8135,974.199,974.284
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,13,0.743936,951.314,3.9085,1.80429,948.975,957.771
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,14,0.740608,982.062,3.88413,1.78483,953.66,988.472
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,15,0.702912,943.147,3.70219,1.68547,937.078,949.238
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,16,0.74256,955.974,3.88464,1.80019,946.727,962.402
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,17,0.747488,957.351,3.9181,1.81043,962.665,963.827
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,18,0.745152,938.117,3.87286,1.80019,941.381,944.536
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,19,0.741504,937.647,3.88171,1.79814,941.937,944.069
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,20,0.735488,975.471,3.7048,1.6855,961.393,981.597
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,21,0.738944,950.475,3.88002,1.79814,933.337,956.892
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,22,0.74144,957.451,3.896,1.80736,951.882,963.896
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,23,0.739008,953.752,3.87893,1.78483,956.365,960.154
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,24,0.702368,943.035,3.7041,1.6865,947.407,949.128
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,25,0.759968,929.1,3.89266,1.78688,928.001,935.539
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,26,0.702848,938.277,3.69888,1.68134,938.813,944.36
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,27,0.703072,963.008,3.70228,1.68851,967.008,969.101
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,28,0.702912,964.829,3.68782,1.68339,971.008,970.903
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,29,0.744,932.969,3.93473,1.80326,939.055,939.451
