dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,0,1.21798,569.349,3.39657,1.7848,574.41,575.748
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,1,0.608896,433.99,3.60559,1.26461,439.306,439.469
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,2,0.6056,428.194,3.57345,1.25645,422.911,433.63
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,3,0.606208,418.236,3.60549,1.26054,415.705,423.708
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,4,0.604512,420.396,3.63866,1.26669,418.487,425.906
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,5,0.596256,415.169,3.57179,1.26157,416.302,420.599
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,6,0.61824,422.377,3.34187,1.23283,424.367,427.57
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,7,0.607296,412.328,3.62282,1.26771,417.747,417.826
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,8,0.6032,417.35,3.65847,1.30765,414.713,422.919
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,9,0.628,416.099,3.36462,1.22874,421.429,421.321
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,10,0.60368,418.134,3.69544,1.31072,418.026,423.743
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,11,0.602784,415.654,3.64154,1.29741,420.994,421.195
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,12,0.601024,415.674,3.59989,1.25645,421.052,421.132
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,13,0.622848,421.607,3.33932,1.2216,424.081,426.791
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,14,0.613408,422.365,3.68079,1.31072,427.861,427.969
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,15,0.60304,419.619,3.59441,1.26566,425.03,425.082
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,16,0.603808,422.19,3.6127,1.26464,427.535,427.671
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,17,0.61968,416.483,3.39858,1.2656,420.884,421.767
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,18,0.60016,414.367,3.64663,1.29946,419.78,419.913
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,19,0.602816,415.052,3.66053,1.3015,416.077,420.617
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,20,0.601568,421.87,3.61823,1.25542,427.165,427.345
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,21,0.606048,415.215,3.64959,1.29843,418.535,420.769
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,22,0.596672,414.207,3.60674,1.25747,418.487,419.668
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,23,0.6088,417.132,3.36747,1.22771,422.454,422.336
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,24,0.61536,414.791,3.33738,1.24003,416.076,419.984
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,25,0.596992,417.703,3.57645,1.26976,418.321,423.146
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,26,0.624128,418.625,3.7321,1.31174,422.655,424.293
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,27,0.602336,414.311,3.6129,1.2585,419.632,419.784
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,28,0.605632,417.061,3.62375,1.26054,422.456,422.551
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,512,29,0.60048,416.623,3.64523,1.29843,419.718,422.167
