dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,0,1.01462,1627.86,6.42367,3.28083,1634.42,1638.58
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,1,0.957248,1542.93,6.37949,2.4473,1552.85,1552.71
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,2,0.977664,1547.57,6.39023,2.47286,1551.4,1557.41
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,3,0.974784,1537.73,6.48175,2.47088,1547.82,1547.66
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,4,0.958144,1639.27,6.34845,2.46061,1646.37,1649.04
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,5,0.963776,1561.83,6.33111,2.46374,1568.18,1571.59
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,6,0.972672,1552.38,6.73237,2.34701,1560.22,1562.44
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,7,0.9576,1512.8,6.36322,2.45859,1522.72,1522.58
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,8,0.961824,1550.5,6.48369,2.4657,1547.63,1560.42
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,9,0.962048,1564.76,6.38857,2.4463,1561.82,1574.56
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,10,0.958016,1547.68,6.41645,2.45142,1557.65,1557.51
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,11,0.963104,1510.95,6.40017,2.44627,1510.8,1520.76
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,12,0.959552,1538.53,6.40146,2.44634,1548.51,1548.33
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,13,0.959008,1600.76,6.37152,2.44525,1583.76,1610.54
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,14,0.958976,1513.73,6.36951,2.44634,1523.65,1523.51
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,15,0.972,1509.11,6.718,2.34394,1518.8,1519.15
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,16,0.960128,1671.85,6.46405,2.48106,1681.89,1681.75
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,17,0.961888,1614.95,6.34609,2.44634,1606.92,1624.7
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,18,0.965376,1543.95,6.35317,2.44838,1542.2,1553.72
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,19,0.970432,1525.8,6.39794,2.44218,1517.87,1535.61
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,20,0.959904,1525.16,6.3899,2.44733,1535.1,1534.95
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,21,0.960064,1568.62,6.47495,2.46678,1565.31,1578.52
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,22,0.969728,1556.07,6.37612,2.4432,1561.09,1565.86
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,23,0.961536,1536.62,6.42974,2.45453,1546.62,1546.47
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,24,0.959232,1535.09,6.39443,2.44528,1545.04,1544.89
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,25,0.9608,1542.94,6.41213,2.4432,1549.61,1552.75
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,26,0.956544,1516.91,6.4205,2.45146,1526.87,1526.73
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,27,0.958048,1503.92,6.35993,2.44534,1513.82,1513.68
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,28,0.958144,1509.23,6.36143,2.44634,1519.14,1518.99
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",6,512,29,0.958464,1522.26,6.39499,2.44838,1532.21,1532.06
