dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,0,1.94701,23.5985,12.2563,3.74886,41.6129,41.5507
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,1,1.44048,14.4453,12.1197,3.59936,31.5521,31.6048
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,2,1.44278,14.4318,12.1845,3.58093,31.5699,31.64
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,3,1.43789,14.4364,12.1951,3.57069,31.5249,31.6401
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,4,1.4423,14.4329,12.214,3.57069,31.5703,31.6599
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,5,1.43968,14.4363,12.1969,3.57888,31.5917,31.6518
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,6,1.43904,14.4441,12.2149,3.57888,31.606,31.6769
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,7,1.43827,14.4386,12.1831,3.58093,31.5465,31.6408
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,8,1.44099,14.4392,12.2227,3.57274,31.547,31.6756
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,9,1.44755,14.4364,12.2195,3.58502,31.5854,31.6884
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,10,1.45018,14.4459,12.1856,3.58093,31.5552,31.6626
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,11,1.44339,14.4391,12.2176,3.59834,31.6287,31.6984
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,12,1.44173,14.4342,12.2114,3.59117,31.5007,31.6785
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,13,1.43766,14.4432,12.2423,3.59117,31.5833,31.7143
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,14,1.44224,14.4189,12.2225,3.59014,31.5361,31.6738
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,15,1.43853,14.4084,12.195,3.56864,31.545,31.6106
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,16,1.44195,14.4265,12.2088,3.59322,31.5752,31.6705
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,17,1.44374,14.4546,12.1253,3.59014,31.6066,31.6138
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,18,1.43952,14.4242,12.2008,3.59117,31.5321,31.6556
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,19,1.44214,14.4443,12.136,3.58707,31.5251,31.6095
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,20,1.44138,14.4178,12.2251,3.59117,31.572,31.6754
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,21,1.43738,14.4305,12.1832,3.56045,31.5506,31.6115
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,22,1.44077,14.427,12.2106,3.58707,31.5562,31.6654
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,23,1.44176,14.4253,12.1854,3.59219,31.5352,31.6447
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,24,1.43834,14.4046,12.226,3.58093,31.5826,31.6498
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,25,1.45571,14.4551,12.2267,3.58707,31.5333,31.7245
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,26,1.44413,14.4196,12.2083,3.60346,31.5795,31.6755
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,27,1.4401,14.4175,12.1974,3.57581,31.5125,31.6309
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,28,1.43869,14.403,12.2088,3.5881,31.6648,31.6385
3,double,uniform,GPU,"P | P | P | P | D | N",4,512,29,1.4448,14.4306,12.2472,3.58298,31.5771,31.7056
