dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,1.48544,0,4778.44,1.93322,4782.03,4781.86
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,1.41107,0,4337.41,1.42131,4340.33,4340.24
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,1.41654,0,4407.33,1.42029,4410.29,4410.17
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,1.41478,0,4485.65,1.42029,4488.6,4488.49
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,1.41648,0,4414.58,1.41619,4417.53,4417.41
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,1.40829,0,4335.13,1.4039,4338.04,4337.94
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,1.41802,0,4316.96,1.40902,4319.9,4319.79
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,1.40685,0,4319.95,1.39981,4322.85,4322.76
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,1.40666,0,4319.77,1.412,4322.68,4322.59
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,1.40781,0,4310.47,1.39571,4313.37,4313.28
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,1.41414,0,4340.19,1.43053,4343.15,4343.04
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,1.4071,0,4547.63,1.40493,4513.76,4550.44
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,1.40675,0,4315.12,1.39878,4318.02,4317.93
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,1.40576,0,4326.65,1.39878,4329.55,4329.46
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,1.40621,0,4380.34,1.4039,4383.24,4383.15
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,1.40445,0,4589.65,1.40493,4542.81,4592.46
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,1.4255,0,4590.92,1.41926,4547.71,4593.76
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,1.40771,0,4330.07,1.40083,4332.97,4332.88
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,1.40589,0,4320.04,1.40493,4322.95,4322.85
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,1.40448,0,4335.71,1.40493,4338.62,4338.52
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,1.40774,0,4328.19,1.40086,4331.09,4331
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,1.40906,0,4321.95,1.41104,4324.86,4324.77
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,1.4135,0,4543.94,1.40288,4510.6,4546.76
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,1.40704,0,4308.06,1.40493,4310.97,4310.87
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,1.40602,0,4346.5,1.40083,4349.4,4349.31
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,1.40579,0,4331.92,1.39782,4334.82,4334.73
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,1.40669,0,4322.41,1.39878,4325.31,4325.21
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,1.39622,0,4334.37,1.39878,4337.13,4337.16
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,1.40774,0,4318.72,1.39571,4321.62,4321.53
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,1.40829,0,4332.44,1.39878,4335.34,4335.25
