dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,0,84.848,0,5425.79,1.80019,5488.7,5512.44
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,1,85.6663,0,2933.32,0.945184,3020.05,3019.93
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,2,83.4734,0,2945.46,0.95232,3030,3029.89
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,3,85.4223,0,2939.13,0.955392,3024.46,3025.51
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,4,84.0434,0,3244.19,0.951296,3329.29,3329.18
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,5,83.7502,0,2944.95,0.959552,3029.79,3029.66
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,6,83.8598,0,2943.35,0.9472,3027.53,3028.16
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,7,85.0173,0,2924.22,0.946144,3010.29,3010.18
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,8,83.7539,0,2925.99,0.964576,3010.84,3010.71
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,9,83.4407,0,2930.81,0.949312,3015.31,3015.2
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,10,85.3299,0,2928.55,0.948224,3014.94,3014.83
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,11,83.79,0,2918.33,0.960544,3003.21,3003.08
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,12,84.139,0,2931.18,0.946176,3016.39,3016.27
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,13,84.0529,0,2921.55,0.95024,3006.66,3006.55
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,14,83.4591,0,2909.67,0.946176,2994.19,2994.08
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,15,84.7866,0,2922,0.947168,3007.85,3007.74
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,16,84.5856,0,2921.76,0.954368,3007.42,3007.3
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,17,84.1548,0,2905.63,0.955392,2990.85,2990.74
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,18,84.1544,0,2918.17,0.945184,3003.37,3003.27
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,19,84.565,0,2921.75,0.949152,3007.37,3007.26
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,20,83.8942,0,2923.76,0.948224,3008.7,3008.6
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,21,83.6048,0,2930.96,0.948224,3015.62,3015.51
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,22,83.9939,0,2913.1,0.953344,2998.16,2998.05
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,23,84.8972,0,2926.83,0.948224,3012.78,3012.67
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,24,84.132,0,2928.07,0.963584,3013.3,3013.17
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,25,84.1132,0,2918.23,0.946176,3003.4,3003.29
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,26,83.8795,0,2911.29,0.947168,2996.25,2996.12
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,27,83.739,0,2918.06,0.945152,3002.85,3002.75
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,28,84.8297,0,2935.85,0.950272,3021.74,3021.63
3,double,uniform,CPU,"D | D | D | D | D | D",6,512,29,84.3485,0,2937,0.9472,3022.4,3022.29
