dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,0,127.121,1957.04,5.44566,2.73504,2096.47,2092.34
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,1,125.582,1890.19,5.40008,2.20768,2027.1,2023.38
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,2,127.292,1978.19,5.42008,2.23024,2116.87,2113.13
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,3,125.579,1884.86,5.41456,2.21187,2021.78,2018.07
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,4,125.242,1942.67,5.39212,2.23744,2079.25,2075.54
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,5,126.872,1881.78,5.41515,2.2241,2019.45,2016.29
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,6,125.217,1909.3,5.40746,2.22518,2045.87,2042.15
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,7,125.201,1942.05,5.38925,2.23024,2078.58,2074.87
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,8,125.44,1898.23,5.39241,2.2231,2034.99,2031.29
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,9,126.648,1939.85,5.39198,2.2272,2077.82,2074.12
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,10,125.778,1879.09,5.41707,2.21184,2016.22,2012.5
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,11,125.867,1908.97,5.41092,2.22109,2045.96,2042.47
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,12,125.933,2064.59,5.39499,2.24256,2201.88,2198.16
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,13,125.013,1906.52,5.3867,2.24867,2042.87,2039.16
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,14,125.661,1911.82,5.39723,2.21901,2048.8,2045.1
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,15,127.065,1902.47,5.38665,2.23024,2040.87,2037.15
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,16,126.421,1903.37,5.38978,2.23843,2041.15,2037.42
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,17,125.922,1890.39,5.38967,2.22413,2027.62,2023.92
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,18,127.127,1953.98,5.42178,2.23536,2092.5,2088.76
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,19,125.832,1953.91,5.40701,2.20358,2091.08,2087.35
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,20,125.265,1952.22,5.39612,2.24662,2088.84,2085.13
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,21,125.422,1909.48,5.40081,2.20774,2046.18,2042.52
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,22,126.929,1923.74,5.38866,2.20259,2061.37,2058.27
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,23,126.958,1893.94,5.39478,2.20157,2031.27,2028.5
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,24,126.858,1971.81,5.38987,2.23027,2110,2106.29
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,25,125.561,1878.95,5.4015,2.20778,2015.76,2012.12
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,26,127.122,1924.73,5.41307,2.22208,2063.21,2059.49
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,27,125.579,1927.38,5.4026,2.23338,2064.3,2060.6
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,28,125.406,1938.16,5.39206,2.2272,2074.91,2071.19
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",4,512,29,125.287,1950.87,5.38782,2.21898,2087.45,2083.76
