dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,0,1.31834,1175.85,3.86558,1.99674,1174.96,1183.03
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,1,0.74528,1005.08,4.00362,1.80634,1011.54,1011.63
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,2,0.761408,983.224,3.97735,1.8135,983.238,989.777
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,3,0.743872,982.729,3.98045,1.78483,979.991,989.238
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,4,0.74608,972.262,3.96201,1.80531,965.154,978.776
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,5,0.743584,955.759,3.95216,1.792,950.873,962.247
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,6,0.738304,955.252,3.94821,1.80531,942.812,961.744
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,7,0.742208,957.139,3.96211,1.80019,963.534,963.644
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,8,0.756736,969.338,3.95332,1.80019,975.815,975.848
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,9,0.759424,962.294,3.99099,1.81043,949.041,968.854
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,10,0.717024,945.735,3.79764,1.68448,944.25,951.934
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,11,0.779392,963.755,3.99429,1.79405,970.201,970.323
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,12,0.756704,932.442,3.95798,1.80326,938.892,938.96
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,13,0.75872,940.322,3.99267,1.80122,946.864,946.874
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,14,0.74192,941.266,3.96271,1.79712,927.163,947.768
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,15,0.739328,945.319,3.96159,1.7879,937.485,951.808
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,16,0.74128,929.617,3.96684,1.80019,936.052,936.125
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,17,0.742944,941.794,3.98085,1.8176,947.897,948.335
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,18,0.72384,945.77,3.85482,1.7039,952.167,952.053
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,19,0.73984,939.428,3.95447,1.8135,931.315,945.936
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,20,0.7392,946.062,3.96664,1.79917,949.105,952.568
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,21,0.76032,941.98,3.9929,1.79917,924.758,948.533
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,22,0.743584,962.107,3.97613,1.79917,968.273,968.626
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,23,0.741632,932.654,3.99506,1.79917,937.372,939.19
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,24,0.743968,959.008,3.97844,1.7961,962.504,965.526
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,25,0.742336,952.486,3.93913,1.79405,958.94,958.961
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,26,0.759936,930.66,3.96567,1.78074,937.107,937.166
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,27,0.711392,928.72,3.82459,1.69773,929.538,934.954
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,28,0.74048,943.357,3.93664,1.7961,949.759,949.831
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",8,512,29,0.741056,929.112,3.97913,1.81043,935.528,935.642
