dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,0,442.517,10.5464,33.6888,6.15629,493.036,492.909
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,1,439.47,10.5379,32.581,5.93408,488.601,488.523
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,2,436.168,10.5349,32.7225,5.92486,485.433,485.351
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,3,436.593,10.5456,32.5168,5.93715,485.689,485.593
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,4,435.931,10.5301,32.7655,5.91667,485.221,485.143
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,5,436.088,10.5352,32.5606,5.92486,485.185,485.109
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,6,439.782,10.5419,33.5864,5.92282,489.917,489.833
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,7,439.667,10.5389,33.061,5.91667,489.262,489.183
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,8,434.46,10.535,33.2804,5.93101,484.287,484.206
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,9,436.277,10.5365,32.2908,5.93101,485.114,485.036
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,10,439.89,10.535,32.6498,5.91667,489.07,488.992
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,11,439.239,10.5325,32.8748,5.93306,488.656,488.579
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,12,439.628,10.5389,32.7467,5.9351,488.933,488.849
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,13,439.764,10.5384,32.8968,5.92794,489.21,489.127
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,14,439.678,10.5403,32.4933,5.92282,488.713,488.635
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,15,434.209,10.5355,32.8371,5.91974,483.58,483.501
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,16,435.992,10.5315,32.1785,5.9177,484.698,484.62
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,17,439.405,10.537,32.8997,5.93306,488.859,488.775
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,18,439.997,10.5353,32.8718,5.91565,489.399,489.32
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,19,439.437,10.5396,32.6865,5.93101,488.677,488.594
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,20,434.709,10.5345,32.3716,5.93818,483.636,483.553
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,21,439.958,10.5396,32.8455,5.94022,489.365,489.283
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,22,439.611,10.5373,32.6533,5.93715,488.819,488.738
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,23,439.475,10.5342,32.8026,5.91462,488.804,488.726
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,24,439.577,10.5341,32.276,5.92384,488.386,488.311
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,25,440.001,10.5379,32.7859,5.93101,489.334,489.256
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,26,435.897,10.5335,32.7624,5.92179,485.193,485.115
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,27,439.171,10.535,32.5458,5.93818,488.267,488.19
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,28,439.725,10.5342,33.2422,5.93203,489.51,489.433
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,29,439.661,10.5345,33.1754,5.92384,489.37,489.294
