dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,0,60.6326,17.6582,8.59639,1.15098,86.1011,88.0382
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,1,58.8856,8.93849,8.58183,0.999424,75.5365,77.4054
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,2,59.474,8.93176,8.58584,0.995328,76.3579,77.9869
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,3,58.9325,8.93904,8.59345,0.997376,75.6472,77.4623
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,4,58.9727,9.20788,8.59297,0.995328,76.2368,77.7689
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,5,59.3636,8.9309,8.56818,0.997376,75.5811,77.8601
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,6,59.4097,8.95025,8.58172,1.00045,76.0285,77.9422
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,7,59.2932,9.00048,8.58145,0.997376,76.1633,77.8724
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,8,59.0303,8.89602,8.57717,0.999424,75.976,77.5029
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,9,58.6494,8.93908,8.57835,0.997376,75.4959,77.1642
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,10,58.721,11.2644,8.5616,0.9984,78.5968,79.5454
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,11,59.0093,8.96331,8.57453,0.997376,75.7561,77.5445
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,12,59.2032,8.94807,8.58552,1.0025,75.9217,77.7393
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,13,59.0417,8.92074,8.57099,0.9984,75.611,77.5318
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,14,59.264,8.95813,8.56507,0.997376,75.8558,77.7846
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,15,58.4627,9.47648,8.57015,0.997376,76.5412,77.5067
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,16,59.3089,9.01365,8.56705,1.00045,76.5332,77.8901
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,17,59.2836,8.967,8.57312,0.9984,76.2606,77.8221
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,18,58.9915,9.0671,8.57193,1.00147,75.7622,77.632
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,19,59.1112,8.94766,8.57012,0.995328,75.8926,77.6243
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,20,59.2775,8.91826,8.56653,1.00147,75.8383,77.7638
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,21,59.3275,8.93658,8.57054,0.996352,75.9222,77.8309
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,22,59.6837,8.91841,8.57426,1.00147,76.5591,78.1778
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,23,59.2544,8.92323,8.57563,1.00045,76.2274,77.7537
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,24,59.1266,8.90614,8.55831,1.00147,75.7848,77.5925
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,25,59.6158,9.14038,8.59136,0.999424,77.312,78.3469
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,26,59.2812,9.00373,8.5687,0.997376,75.7664,77.851
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,27,58.8859,8.90011,8.56685,0.994304,75.5342,77.3472
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,28,58.6735,9.05532,8.55396,0.995328,75.3538,77.2781
3,float,uniform,CPU,"D | D | D | D | D | D",4,512,29,59.0279,9.05921,8.5682,1.00147,76.2275,77.6567
