dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,1.87053,25.2548,4.23532,1.33632,35.3117,32.697
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,1.38909,14.5402,4.17566,1.01274,23.6451,21.1177
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,1.38518,14.6405,4.15197,1.02912,23.7375,21.2068
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,1.38672,14.4525,4.15006,1.16429,23.6658,21.1535
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,1.38672,14.3783,4.16111,1.16634,23.6351,21.0925
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,1.38298,14.338,4.15595,1.16224,23.5827,21.0392
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,1.38608,14.4877,4.14264,1.16429,23.708,21.1807
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,1.38435,14.4586,4.12643,1.1735,23.6599,21.1429
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,1.38432,14.5212,4.22226,1.02605,23.6692,21.1538
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,1.38205,14.3895,4.20038,1.16941,23.6843,21.1414
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,1.38547,14.4707,4.13421,1.16122,23.7002,21.1516
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,1.38365,14.4294,4.16021,1.01478,23.5167,20.9881
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,1.38717,14.4667,4.14602,1.16429,23.6954,21.1641
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,1.38522,14.495,4.07861,1.16019,23.642,21.119
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,1.38723,14.4425,4.16133,1.14995,23.6612,21.141
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,1.38733,14.3719,4.16744,1.16736,23.6427,21.094
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,1.38576,14.1975,4.22187,1.17862,23.5389,20.9837
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,1.38454,14.4328,4.21879,1.15917,23.7207,21.1953
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,1.38499,14.2354,4.2121,1.16634,23.5489,20.9988
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,1.38211,14.3946,4.22092,1.17862,23.709,21.1763
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,1.38621,14.4665,4.15365,1.03629,23.558,21.0427
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,1.38365,14.4355,4.17987,1.03629,23.5641,21.0353
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,1.38771,14.1117,4.46018,1.05267,23.5686,21.0123
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,1.38739,14.3793,4.20466,1.04653,23.5244,21.0179
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,1.38272,14.3612,4.136,1.16224,23.5581,21.0421
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,1.38461,14.4572,4.15125,1.16634,23.6816,21.1594
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,1.38253,14.264,4.14936,1.18579,23.5306,20.9817
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,1.38947,14.0976,4.45908,1.09568,23.6117,21.0419
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,1.38451,14.2852,4.1726,1.17043,23.5583,21.0127
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,1.39715,14.46,4.14053,1.18272,23.7493,21.1804
