dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,0,75.2185,1373.6,9.10748,3.03411,1377.75,1460.96
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,1,74.0794,1330.83,9.10874,2.38387,1361.48,1416.4
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,2,74.3749,1331.67,8.93322,2.37875,1318.44,1417.36
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,3,74.6592,1294.75,9.05835,2.38694,1312.71,1380.86
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,4,74.8822,1273.95,9.07513,2.37978,1284.68,1360.29
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,5,76.0742,1298.79,9.08479,2.37568,1297.91,1386.33
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,6,74.9404,1275.11,8.87986,2.38285,1300.01,1361.31
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,7,75.0363,1302.43,9.0863,2.37773,1346.54,1388.93
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,8,75.4473,1316.55,9.00061,2.3808,1333.48,1403.38
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,9,75.7406,1293.68,9.05166,2.3849,1319.66,1380.86
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,10,75.0452,1304.25,9.04756,2.37158,1313.92,1390.72
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,11,75.0126,1277.18,9.0442,2.36544,1300.17,1363.6
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,12,75.1258,1309.88,9.11367,2.3808,1318.32,1396.5
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,13,75.3542,1296.47,9.06245,2.37363,1326.28,1383.26
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,14,73.6951,1286.51,9.10234,2.37466,1291.87,1371.68
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,15,75.1622,1316.5,8.93464,2.37158,1317.39,1402.97
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,16,75.1948,1310.36,9.00162,2.37875,1346.32,1396.93
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,17,75.5319,1319.98,9.02009,2.39616,1321.8,1406.93
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,18,75.2962,1315.98,9.00459,2.39411,1322.4,1402.68
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,19,74.4746,1292.09,9.01376,2.36851,1321.64,1377.95
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,20,74.9613,1307.01,8.96554,2.36544,1328.39,1393.3
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,21,74.7142,1287.28,9.05124,2.37363,1311.9,1373.42
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,22,75.4427,1282.5,9.0831,2.36646,1305.52,1369.39
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,23,73.7718,1284.87,8.98875,2.38285,1311.39,1370.02
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,24,75.1358,1313.73,9.00381,2.38797,1309.34,1400.26
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,25,74.8172,1288.21,9.02412,2.40128,1300.65,1374.45
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,26,74.7797,1297.2,9.03608,2.39718,1329.42,1383.42
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,27,74.9815,1305.96,9.04918,2.38899,1298.8,1392.38
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,28,74.9867,1290.88,9.07023,2.38387,1303.21,1377.32
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",6,512,29,74.1614,1272,9.10845,2.37568,1296.42,1357.64
