dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,0,229.516,23.8184,21.6818,3.2256,277.523,278.242
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,1,226.397,17.7193,21.7536,3.08224,269.043,268.952
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,2,227.211,18.005,21.6863,3.08429,269.464,269.987
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,3,227.201,17.7224,21.6974,3.08838,268.802,269.709
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,4,227.122,17.7566,21.7085,3.08838,269.767,269.676
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,5,227.001,17.7859,21.7079,3.08019,268.181,269.575
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,6,227.988,17.6981,21.7223,3.08838,268.118,270.497
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,7,227.731,17.7909,21.7017,3.08736,268.3,270.311
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,8,228.508,17.7862,21.7419,3.08531,268.844,271.121
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,9,226.504,17.7317,21.7036,3.08634,267.691,269.025
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,10,228.205,17.9982,21.6811,3.08634,270.489,270.97
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,11,225.907,17.7465,21.6628,3.0935,267.698,268.41
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,12,227.043,17.7609,21.6602,3.08429,269.641,269.548
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,13,226.445,17.7024,21.6866,3.09043,267.998,268.925
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,14,227.961,17.7885,21.6742,3.09043,269.048,270.514
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,15,226.069,17.8244,21.7454,3.08634,268.31,268.725
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,16,227.406,17.6757,21.752,3.08634,270.009,269.92
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,17,227.851,17.946,21.6756,3.08838,269.891,270.561
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,18,227.662,17.7516,21.6716,3.08531,268.175,270.17
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,19,227.934,18.086,21.6858,3.08634,270.442,270.792
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,20,227.036,18.2633,21.7448,3.08326,269.991,270.128
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,21,227.962,17.7836,21.6528,3.09043,269.769,270.489
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,22,228.078,17.7436,21.7356,3.08838,268.513,270.645
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,23,226.599,17.7687,21.6752,3.08634,268.097,269.13
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,24,227.052,17.7432,21.6961,3.08736,269.669,269.579
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,25,231.19,17.692,21.7302,3.08838,271.979,273.7
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,26,228.636,17.9528,21.5896,3.0935,270.323,271.272
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,27,226.496,18.0284,21.7499,3.07917,269.36,269.353
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,28,226.815,18.4643,21.7365,3.09146,270.003,270.108
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,29,226.716,17.7716,21.7362,3.08941,267.903,269.313
