dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,0,229.438,35.7447,26.4971,7.38099,298.331,299.061
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,1,227.723,30.0051,26.415,7.20384,290.585,291.347
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,2,227.405,30.1427,26.2844,7.17517,291.112,291.007
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,3,227.98,30.1277,26.3188,7.15981,289.224,291.586
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,4,228.621,30.0883,26.4692,7.18541,291.813,292.364
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,5,227.152,30.1996,26.5403,7.18643,290.974,291.079
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,6,230.024,30.0765,26.4374,7.1895,291.789,293.727
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,7,226.562,30.1793,26.4466,7.17722,290.269,290.365
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,8,226.974,30.0726,26.4939,7.18234,290.103,290.723
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,9,226.903,30.7691,26.42,7.18541,291.198,291.277
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,10,226.501,30.029,26.4557,7.15878,288.826,290.145
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,11,225.404,30.0744,26.3581,7.18643,289.092,289.023
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,12,227.938,30.0485,26.5292,7.1936,289.652,291.709
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,13,228.21,30.1357,26.2262,7.17005,290.3,291.742
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,14,227.712,30.0645,26.5311,7.20179,290.906,291.51
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,15,226.505,30.1664,26.4975,7.18643,290.191,290.356
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,16,227.272,29.9828,26.4025,7.18234,290.938,290.839
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,17,225.63,30.1631,26.4291,7.18643,289.327,289.409
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,18,226.67,30.0815,26.3585,7.18746,288.905,290.298
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,19,230.059,30.0464,26.4854,7.18336,291.509,293.775
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,20,226.926,30.1349,26.4519,7.15981,289.201,290.673
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,21,228.719,30.105,26.346,7.21101,292.478,292.381
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,22,226.505,30.1011,26.4533,7.17107,288.882,290.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,23,227.998,30.0682,26.4296,7.16288,289.243,291.659
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,24,227.433,29.9983,26.5006,7.19974,291.232,291.131
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,25,227.14,30.0616,26.3368,7.17926,290.816,290.717
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,26,225.259,29.9837,26.4422,7.17517,288.845,288.86
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,27,226.736,30.0632,26.4301,7.15571,289.361,290.385
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,28,228.652,30.1276,26.4948,7.18438,290.442,292.459
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",2,512,29,229.212,30.2519,26.3583,7.17312,292.933,292.996
