dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,0,1.22429,565.668,4.68505,1.53286,573.314,573.11
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,1,0.617184,437.001,4.66021,1.17549,443.565,443.454
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,2,0.62,432.032,4.70152,1.16528,438.64,438.519
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,3,0.600544,413.171,4.26972,1.28717,417.03,419.328
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,4,0.618656,420.778,4.67348,1.16733,427.357,427.238
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,5,0.608384,414.248,4.69344,1.1561,420.812,420.706
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,6,0.627392,412.036,4.65792,1.16426,418.597,418.485
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,7,0.6024,414.408,4.24488,1.28717,420.154,420.542
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,8,0.603264,413.754,4.16529,1.29229,419.71,419.815
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,9,0.603264,416.213,4.59438,1.28614,418.161,422.697
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,10,0.60528,413.596,4.22696,1.28717,419.204,419.716
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,11,0.605984,411.412,4.66627,1.29126,417.931,417.975
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,12,0.601184,413.508,4.23771,1.28614,419.475,419.633
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,13,0.605024,415.432,4.23624,1.28614,417.468,421.559
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,14,0.60496,413.326,4.58119,1.29229,419.656,419.804
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,15,0.604256,413.753,4.59886,1.29536,420.142,420.251
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,16,0.61856,414.267,4.59324,1.1591,419.531,420.638
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,17,0.60576,412.185,4.59554,1.28819,418.755,418.674
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,18,0.610336,413.103,4.58814,1.28717,419.499,419.589
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,19,0.605376,412.405,4.61208,1.29126,418.772,418.914
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,20,0.6152,414.243,4.71296,1.15808,420.835,420.729
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,21,0.601536,412.19,4.62198,1.29126,418.43,418.705
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,22,0.60112,412.48,4.59217,1.28819,418.943,418.962
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,23,0.600416,412.988,4.61698,1.3015,419.361,419.507
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,24,0.602688,412.988,4.57495,1.28922,419.428,419.455
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,25,0.6048,414.141,4.22374,1.29229,420.038,420.262
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,26,0.60128,412.726,4.61064,1.29536,419.096,419.233
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,27,0.598944,412.136,4.24933,1.29331,418.151,418.278
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,28,0.612736,412.565,4.6119,1.28819,419.05,419.077
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,29,0.610432,412.184,4.55416,1.28512,418.626,418.634
