dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,0,125.866,0,5053.06,4.46141,5183.61,5183.39
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,1,125.637,0,4661.98,3.39987,4791.16,4791.02
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,2,125.437,0,4670.69,3.38054,4799.5,4799.51
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,3,127.127,0,4706.4,3.38794,4836.95,4836.92
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,4,125.412,0,4662.3,3.38698,4791.23,4791.1
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,5,125.169,0,4671.59,3.37389,4800.27,4800.13
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,6,126.165,0,4683.16,3.38006,4812.84,4812.7
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,7,127.035,0,4736.31,3.38538,4866.04,4866.73
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,8,126.986,0,4700.65,3.36765,4831.13,4831.01
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,9,125.588,0,4706.45,3.37658,4835.56,4835.41
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,10,125.653,0,4677.46,3.37146,4806.23,4806.49
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,11,125.516,0,4685.95,3.36566,4814.91,4814.83
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,12,126.452,0,4690.29,3.36723,4820.23,4820.11
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,13,125.654,0,4680.54,3.37258,4809.71,4809.56
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,14,127.067,0,4701.56,3.38326,4831.31,4832.01
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,15,125.695,0,4679.39,3.36522,4808.57,4808.45
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,16,125.849,0,4686.78,3.36432,4816.11,4815.99
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,17,126.032,0,4664.57,3.36698,4794.09,4793.97
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,18,125.305,0,4712.55,3.37347,4841.28,4841.23
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,19,125.621,0,4681.47,3.37123,4810.45,4810.46
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,20,125.882,0,4686.29,3.38592,4815.68,4815.56
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,21,126.893,0,4707.21,3.36771,4836.74,4837.47
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,22,126.027,0,4675.04,3.36621,4804.55,4804.43
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,23,125.706,0,4682.7,3.36634,4811.9,4811.77
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,24,125.474,0,4673.84,3.36509,4802.8,4802.68
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,25,125.229,0,4673.57,3.37008,4802.29,4802.17
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,26,125.483,0,4671.12,3.36515,4800.09,4799.97
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,27,125.291,0,4832.47,3.38112,4961.29,4961.15
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,28,126.783,0,4813.55,3.3737,4943.12,4943.7
3,double,uniform,CPU,"P | P | P | P | P | P",4,512,29,125.384,0,4678.69,3.36941,4807.52,4807.44
