dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,0,3.62986,5.30127,28.7106,7.86125,45.6361,45.503
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,1,3.25779,5.29121,28.508,7.66566,44.866,44.7227
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,2,3.19104,5.29448,26.9226,7.62368,43.168,43.0318
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,3,3.16803,5.29062,25.6524,7.5776,41.8346,41.6887
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,4,3.16096,5.29311,25.5992,7.60218,41.7931,41.6554
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,5,3.1656,5.297,25.807,7.57965,41.9882,41.8493
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,6,3.15882,5.2924,25.6902,7.57146,41.8519,41.7129
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,7,3.17446,5.29408,25.5722,7.57453,41.7532,41.6153
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,8,3.15098,5.29169,25.7475,7.55814,41.8846,41.7483
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,9,3.1575,5.29154,25.7144,7.57248,41.8744,41.7359
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,10,3.16189,5.2928,25.6156,7.54893,41.756,41.6192
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,11,3.15981,5.29262,25.6177,7.5776,41.7871,41.6477
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,12,3.1575,5.29358,25.6035,7.5817,41.7749,41.6363
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,13,3.15798,5.29085,25.7508,7.57658,41.913,41.7762
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,14,3.15731,5.29275,25.4927,7.56326,41.6437,41.5061
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,15,3.15741,5.29468,25.6202,7.57248,41.7839,41.6448
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,16,3.1599,5.29359,25.7011,7.57453,41.8664,41.7291
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,17,3.16973,5.29374,25.7212,7.57862,41.9001,41.7633
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,18,3.16835,5.29167,25.7079,7.56224,41.8678,41.7302
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,19,3.15622,5.29105,25.5883,7.58682,41.7681,41.6224
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,20,3.16371,5.293,25.7277,7.57146,41.8932,41.7559
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,21,3.1545,5.29056,25.6424,7.5817,41.8069,41.6691
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,22,3.16109,5.29603,25.6048,7.58784,41.788,41.6498
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,23,3.15133,5.29438,25.7135,7.57453,41.8732,41.7337
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,24,3.15843,5.29295,25.7078,7.57862,41.8752,41.7379
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,25,3.15974,5.29237,25.7503,7.55302,41.8916,41.7554
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,26,3.15933,5.28993,25.4758,7.57555,41.639,41.5006
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,27,3.14749,5.29347,25.5289,7.57965,41.6902,41.5495
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,28,3.15747,5.29289,25.8093,7.59603,42.0041,41.8557
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",1,512,29,3.15475,5.28752,25.7163,7.56941,41.8647,41.728
