dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,0,60.8795,17.7593,4.722,2.0736,83.6617,85.4344
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,1,58.7868,9.20608,4.69063,1.88211,72.8863,74.5656
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,2,59.2359,9.20603,4.63677,1.88928,72.8998,74.968
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,3,59.0141,9.22713,4.66759,1.88518,73.3977,74.794
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,4,59.4736,9.1795,4.67128,1.88826,73.4542,75.2126
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,5,59.0097,9.21865,4.70351,1.88928,73.0176,74.8211
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,6,58.7863,9.21362,4.71583,1.87802,72.6499,74.5937
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,7,58.976,9.2604,4.65091,1.88006,73.0042,74.7674
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,8,58.9587,9.18522,4.69359,1.88621,72.9469,74.7237
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,9,59.5322,9.20254,4.6844,1.87597,73.1307,75.2951
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,10,59.4514,9.18166,4.66536,1.89133,73.1287,75.1898
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,11,59.6041,9.18089,4.634,1.87904,73.2883,75.298
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,12,58.9669,9.29221,4.67371,1.88621,73.3682,74.819
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,13,59.4286,9.27707,4.6052,1.88826,73.5624,75.1991
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,14,59.2817,9.18678,4.65511,1.88211,73.1977,75.0057
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,15,59.1724,9.20016,4.65103,1.88314,73.3921,74.9067
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,16,59.1488,9.28846,4.60169,1.88928,73.1361,74.9282
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,17,59.0286,9.2646,4.68681,1.8903,72.9485,74.8703
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,18,59.164,9.19284,4.70066,1.88416,73.0212,74.9417
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,19,59.9243,9.27229,4.65225,1.88518,73.9038,75.734
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,20,59.3988,9.24086,4.6602,1.88416,73.4627,75.184
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,21,58.7921,9.27435,4.60948,1.88416,72.772,74.5601
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,22,59.2561,9.28861,4.69419,1.88826,73.4781,75.1272
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,23,59.603,9.2025,4.72121,1.88109,73.4246,75.4078
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,24,59.2667,9.32059,4.63564,1.88518,73.5506,75.1081
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,25,59.0763,9.22892,4.64683,1.88416,73.0327,74.8362
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,26,59.2207,9.16641,4.66913,1.8903,73.1569,74.9465
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,27,59.5032,9.17198,4.69193,1.88211,73.2171,75.2492
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,28,59.2083,9.24676,4.64034,1.88621,73.5767,74.9816
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,29,59.4396,9.26349,4.6692,1.88211,73.5035,75.2544
