dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,0,1.33306,19.466,5.27432,2.11149,28.1235,28.1849
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,1,0.888768,9.80485,5.30886,1.93331,18.0113,17.9358
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,2,0.88416,9.82505,5.34434,1.93638,18.0768,17.9899
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,3,0.8832,9.80877,5.36337,1.94253,18.0773,17.9979
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,4,0.886592,9.80134,5.37347,1.93536,18.0862,17.9968
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,5,0.885344,9.82141,5.36033,1.92106,18.076,17.9881
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,6,0.889536,9.84043,5.36755,1.9415,18.1363,18.039
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,7,0.885792,9.81916,5.36425,1.93229,18.0885,18.0015
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,8,0.88688,9.80671,5.3729,1.93843,18.0654,18.0049
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,9,0.889216,9.82315,5.37305,1.94253,18.1142,18.0279
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,10,0.885856,9.80824,5.36149,1.93229,18.0671,17.9879
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,11,0.883392,9.82281,5.35277,1.92717,18.0756,17.9861
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,12,0.883328,9.81437,5.3637,1.9456,18.0937,18.007
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,13,0.881472,9.81927,5.37414,1.9241,18.089,17.999
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,14,0.885888,9.79441,5.36771,1.93126,18.0493,17.9793
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,15,0.884672,9.81387,5.35691,1.93741,18.083,17.9929
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,16,0.888256,9.81508,5.36523,1.93229,18.0871,18.0009
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,17,0.88496,9.80272,5.37515,1.93638,18.077,17.9992
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,18,0.8832,9.79507,5.35801,1.93843,18.0006,17.9747
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,19,0.88576,9.80454,5.35074,1.92922,18.0556,17.9703
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,20,0.886592,9.802,5.35213,1.93536,18.0625,17.9761
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,21,0.885856,9.83815,5.37442,1.93126,18.1204,18.0297
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,22,0.88544,9.82405,5.36265,1.92922,18.1062,18.0014
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,23,0.88656,9.7961,5.37897,1.93331,18.0117,17.9949
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,24,0.890208,9.95421,5.30068,1.93434,18.0693,18.0794
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,25,0.889344,9.7968,5.35365,1.91693,18.0093,17.9567
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,26,0.882144,9.85044,5.35483,1.92205,18.1166,18.0095
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,27,0.881952,9.90653,5.37475,1.94765,18.1986,18.1109
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,28,0.882464,9.80597,5.35175,1.93434,18.0587,17.9745
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",4,512,29,0.883872,9.80976,5.35256,1.93229,18.0651,17.9785
