dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,87.0015,666.505,2.7843,0.843808,759.695,757.135
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,84.5175,451.867,2.78027,0.503776,541.61,539.668
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,85.5217,437.742,2.75941,0.49968,527.924,526.523
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,84.4705,437.535,2.75821,0.49968,527.3,525.263
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,84.6371,438.538,2.76638,0.505888,527.893,526.447
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,84.5587,442.279,2.75974,0.505824,531.959,530.103
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,85.7246,436.019,2.76569,0.499744,527.108,525.009
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,84.7123,440.959,2.76323,0.5048,530.688,528.939
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,85.6052,437.712,2.7797,0.503808,528.698,526.601
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,85.6875,650.875,2.79204,0.512992,741.374,739.868
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,84.7673,464.324,2.77124,0.497632,554.285,552.36
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,84.686,467.9,2.76608,0.511968,556.944,555.864
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,85.7034,440.706,2.76207,0.502752,531.546,529.674
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,86.138,448.788,2.76724,0.504864,540.293,538.198
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,84.5018,441.78,2.76075,0.501728,531.521,529.544
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,84.7847,478.141,2.7562,0.502752,568.079,566.185
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,85.5277,458.051,2.76395,0.500768,548.201,546.844
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,84.7341,462.679,2.75895,0.501728,551.6,550.674
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,85.6548,454.705,2.78841,0.507904,544.277,543.656
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,84.6852,451.169,2.77658,0.505824,540.612,539.136
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,85.666,442.646,2.76103,0.502752,533.4,531.576
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,84.8879,449.539,2.76164,0.5048,539.065,537.694
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,84.8699,444.175,2.759,0.502752,533.564,532.307
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,84.7886,442.885,2.75764,0.503776,532.806,530.935
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,85.1587,438.73,2.76437,0.506848,529.26,527.16
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,84.5129,444.604,2.76502,0.50688,533.983,532.388
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,85.5664,445.726,2.75987,0.5048,535.592,534.557
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,84.5907,442.206,2.76815,0.505856,532,530.071
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,85.5382,443.066,2.75655,0.499712,533.203,531.861
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,84.7824,439.732,2.75638,0.505856,529.691,527.777
