dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,0,86.5306,1045.2,6.41787,2.75347,1138.98,1140.91
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,1,84.8564,823.693,6.4699,2.27322,914.639,917.293
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,2,84.8638,831.521,6.39404,2.25987,925.161,925.038
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,3,84.6802,822.26,6.46012,2.27526,915.632,915.675
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,4,84.7935,821.47,6.39484,2.26195,907.955,914.92
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,5,84.716,820.972,6.39526,2.26502,913.125,914.348
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,6,85.6127,820.96,6.47367,2.26195,915.432,915.308
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,7,84.5774,819.027,6.36086,2.25888,912.348,912.224
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,8,84.5404,817.978,6.44658,2.26195,911.344,911.227
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,9,84.91,823.247,6.40291,2.2599,916.937,916.82
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,10,84.9533,824.477,6.43567,2.26195,917.3,918.128
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,11,85.6274,826.756,6.45018,2.26093,913.595,921.094
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,12,84.7004,824.26,6.44906,2.25987,917.789,917.67
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,13,84.9262,825.7,6.53418,2.26192,919.434,919.422
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,14,85.5162,821.888,6.3964,2.2599,916.19,916.061
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,15,84.6265,821.714,6.4108,2.2681,913.42,915.019
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,16,84.7066,823.064,6.37294,2.26298,916.524,916.407
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,17,84.6849,828.291,6.43036,2.27114,916.663,921.677
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,18,84.8262,822.273,6.3738,2.26307,915.875,915.736
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,19,84.7333,820.102,6.49862,2.27734,913.731,913.611
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,20,85.7181,818.958,6.38812,2.25885,913.443,913.323
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,21,84.5747,820.786,6.34282,2.26195,914.092,913.965
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,22,85.7606,821.315,6.45091,2.25994,915.906,915.787
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,23,85.5453,822.257,6.40285,2.26198,915.307,916.467
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,24,84.5243,825.693,6.42266,2.26192,919.019,918.902
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,25,84.9184,818.953,6.37521,2.25987,912.632,912.506
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,26,85.5295,819.875,6.44861,2.25994,913.937,914.113
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,27,85.3128,819.443,6.38685,2.26093,913.529,913.403
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,28,84.6064,823.342,6.43726,2.26202,916.794,916.648
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,29,84.6197,819.608,6.43101,2.25987,913.036,912.919
