dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,0,6.09488,10.5468,55.5544,14.5818,86.9074,86.7778
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,1,5.6633,10.5314,55.136,14.3217,85.7926,85.6524
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,2,5.67757,10.5354,55.5336,14.3483,86.2357,86.0948
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,3,5.67498,10.534,55.525,14.3667,86.2401,86.1008
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,4,5.67254,10.5387,55.4242,14.3391,86.1166,85.9745
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,5,5.67613,10.5411,55.4837,14.377,86.2164,86.0778
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,6,5.66675,10.5324,55.4788,14.3452,86.1615,86.0232
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,7,5.68954,10.5372,55.3553,14.3452,86.0684,85.9272
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,8,5.6873,10.5369,55.6685,14.3442,86.3767,86.2369
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,9,5.67773,10.537,55.4397,14.3032,86.0972,85.9576
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,10,5.6935,10.5348,55.4347,14.3892,86.1926,86.0523
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,11,5.67702,10.5333,55.4035,14.3575,86.1098,85.9713
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,12,5.6609,10.5381,55.4648,14.3309,86.1374,85.9947
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,13,5.67654,10.5406,55.6005,14.3636,86.3218,86.1814
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,14,5.66989,10.5357,55.423,14.3288,86.0961,85.9574
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,15,5.6807,10.535,55.4622,14.337,86.1563,86.0149
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,16,5.67258,10.5338,55.463,14.334,86.1447,86.0034
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,17,5.66714,10.5379,55.622,14.336,86.3045,86.1631
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,18,5.6697,10.5361,55.3828,14.3309,86.0613,85.9195
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,19,5.67078,10.5358,55.4318,14.3299,86.1095,85.9683
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,20,5.68474,10.538,55.0109,14.3391,85.7125,85.5727
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,21,5.67373,10.5412,55.1356,14.3657,85.8579,85.7162
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,22,5.67344,10.5373,55.4252,14.3022,86.0769,85.9382
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,23,5.69069,10.5332,55.122,14.3237,85.811,85.6696
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,24,5.67802,10.5377,55.3758,14.3585,86.0926,85.9501
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,25,5.68186,10.5362,55.3106,14.3565,86.0233,85.8851
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,26,5.68509,10.5361,55.5423,14.3708,86.2749,86.1344
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,27,5.67894,10.5341,55.4514,14.3319,86.1336,85.9963
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,28,5.68637,10.5356,55.2299,14.3206,85.9139,85.7725
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",1,512,29,5.67507,10.535,55.5099,14.335,86.1974,86.055
