dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,0,1.07994,369.094,4.33497,0.739296,375.203,375.248
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,1,0.467072,256.236,4.32362,0.43104,259.754,261.458
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,2,0.473152,307.896,4.3274,0.428032,305.611,313.124
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,3,0.469216,267.484,4.32529,0.429056,257.64,272.708
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,4,0.468064,251.528,4.32249,0.432064,256.726,256.751
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,5,0.469632,269.128,4.32208,0.427008,269.611,274.347
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,6,0.471616,294.469,4.40096,0.435136,292.66,299.777
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,7,0.463936,258.113,4.34972,0.439232,261.417,263.366
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,8,0.467776,255.292,4.33172,0.426944,260.463,260.519
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,9,0.472576,301.262,4.41356,0.437248,304.316,306.586
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,10,0.47024,245.708,4.31797,0.429056,250.868,250.925
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,11,0.468736,279.682,4.31659,0.427968,284.839,284.896
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,12,0.465536,256.62,4.32194,0.426944,261.775,261.834
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,13,0.464032,276.028,4.31856,0.428032,270.209,281.239
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,14,0.471232,283.802,4.33015,0.434176,287.153,289.038
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,15,0.468224,278.103,4.32357,0.43104,283.289,283.326
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,16,0.465472,279.801,4.31719,0.428032,284.757,285.012
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,17,0.467456,272.079,4.32934,0.429056,275.679,277.305
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,18,0.46688,283.214,4.32222,0.430048,287.633,288.433
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,19,0.467008,252.15,4.31559,0.428992,257.3,257.362
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,20,0.467264,259.257,4.31915,0.43312,264.022,264.477
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,21,0.472256,256.194,4.3803,0.466976,255.604,261.514
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,22,0.466144,276.274,4.31509,0.427008,280.589,281.482
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,23,0.464832,272.5,4.31811,0.427008,273.296,277.71
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,24,0.47072,259.432,4.32008,0.427008,263.068,264.65
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,25,0.466848,269.891,4.32018,0.42592,275.04,275.104
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,26,0.469888,281.362,4.3299,0.43104,283.832,286.593
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,27,0.463936,280.713,4.3141,0.429056,269.064,285.92
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,28,0.470624,266.313,4.32206,0.427968,269.293,271.533
3,float,uniform,GPU,"D | D | D | D | D | D",8,512,29,0.465952,278.188,4.31854,0.431072,283.343,283.403
