dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,84.9573,0,3450.53,1.48378,3537.17,3536.98
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,84.6165,0,2983.36,0.959488,3069.05,3068.94
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,85.4565,0,2976.78,0.943104,3063.29,3063.18
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,84.0239,0,2973.65,0.951296,3058.74,3058.62
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,84.5725,0,2957.4,0.959488,3043.04,3042.94
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,83.9854,0,2950.38,0.960512,3035.46,3035.33
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,83.593,0,2957.72,0.943072,3042.36,3042.26
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,84.5601,0,2950.81,0.941088,3036.42,3036.31
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,84.9595,0,2974,0.953344,3060.03,3059.91
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,84.9005,0,2972.18,0.943104,3058.14,3058.02
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,84.7773,0,2957.68,0.944128,3043.51,3043.41
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,83.9178,0,2973.48,0.953344,3058.49,3058.35
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,84.0036,0,2956.11,0.948224,3041.17,3041.06
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,84.286,0,2965.22,0.950272,3050.56,3050.45
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,84.029,0,2964.45,0.948224,3049.53,3049.42
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,84.596,0,2947.54,0.9472,3033.19,3033.08
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,83.9626,0,3044.04,0.95232,3113.4,3128.96
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,84.5412,0,2956.39,0.954368,3042.03,3041.88
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,83.5792,0,2957.64,0.95232,3042.28,3042.17
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,83.6356,0,2958.49,0.939008,3043.17,3043.06
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,84.2474,0,2954.08,0.944128,3039.38,3039.27
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,83.6836,0,2949.28,0.941056,3034.01,3033.9
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,83.8943,0,3032.78,0.94208,3111.18,3117.62
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,83.7866,0,3092.07,0.944128,3176.9,3176.8
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,84.7891,0,2962.24,0.959424,3048.12,3047.99
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,83.7111,0,3045.55,0.943104,3115.41,3130.2
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,84.9557,0,2953.69,0.945152,3039.7,3039.6
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,83.8297,0,2957.04,0.940032,3041.91,3041.81
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,83.8466,0,3049.46,0.943104,3123.95,3134.24
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,84.8228,0,2982.6,0.9472,3068.47,3068.37
