dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,0,1.05734,396.223,2.06156,0.697344,396.808,400.039
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,1,0.471872,253.158,2.03081,0.434176,248.802,256.095
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,2,0.474528,275.429,1.99606,0.434176,264.386,278.334
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,3,0.47072,269.529,1.9872,0.4352,261.426,272.422
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,4,0.468736,265.352,1.9939,0.436224,261.884,268.251
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,5,0.46848,280.783,1.98709,0.431104,283.211,283.67
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,6,0.471424,256.306,1.98878,0.44032,256.154,259.206
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,7,0.470048,253.682,1.99298,0.435168,256.528,256.58
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,8,0.46448,257.954,1.99151,0.431072,259.913,260.842
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,9,0.4672,252.665,1.98594,0.431104,253.726,255.549
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,10,0.468032,260.794,1.988,0.427008,258.192,263.677
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,11,0.46736,266.101,1.98828,0.431072,264.268,268.988
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,12,0.477088,267.769,2.01441,0.441344,269.923,270.701
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,13,0.475872,253.979,2.04531,0.441312,256.884,256.942
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,14,0.4744,257.896,1.9924,0.432128,254.17,260.795
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,15,0.476192,258.123,1.98981,0.429024,256.902,261.018
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,16,0.466752,273.837,1.98483,0.431104,275.323,276.72
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,17,0.462208,259.907,1.98589,0.436224,262.749,262.791
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,18,0.472704,278.462,1.98803,0.432128,267.303,281.355
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,19,0.471072,285.88,1.99212,0.42912,287.164,288.772
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,20,0.472256,259.693,1.98472,0.43008,255.279,262.581
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,21,0.470528,298.53,1.99205,0.433152,300.262,301.426
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,22,0.468256,272.978,1.99346,0.4352,275.818,275.875
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,23,0.466816,263.119,1.98813,0.432128,260.783,266.006
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,24,0.468672,266.96,1.99567,0.434176,269.488,269.858
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,25,0.464608,277.167,1.98329,0.429024,258.221,280.044
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,26,0.468032,282.168,2.00613,0.437248,281.095,285.079
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,27,0.470592,299.145,2.03664,0.451584,278.347,302.104
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,28,0.478048,283.247,2.00357,0.432128,284.162,286.16
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,29,0.472576,263.228,1.99415,0.437184,266.075,266.132
