dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,0.80736,0,3629.02,1.58515,3630.08,3631.41
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,0.721248,0,3204.45,1.05882,3204.28,3206.23
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,0.732288,0,3178.67,1.06291,3176.93,3180.46
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,0.72624,0,3180.08,1.05882,3181.14,3181.87
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,0.73296,0,3173.77,1.06086,3172.44,3175.57
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,0.711968,0,3168.17,1.05885,3164.1,3169.94
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,0.724736,0,3302.91,1.05984,3301.61,3304.69
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,0.71456,0,3191.39,1.06186,3190.54,3193.16
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,0.723488,0,3180.96,1.06291,3180.36,3182.75
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,0.724768,0,3176.56,1.0527,3178.07,3178.34
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,0.722752,0,3167.75,1.05677,3164.7,3169.53
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,0.724064,0,3209.79,1.0537,3206.61,3211.57
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,0.728992,0,3219.54,1.05475,3218.94,3221.33
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,0.727232,0,3240.98,1.06906,3240.91,3242.78
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,0.707104,0,3216.59,1.06189,3215.69,3218.36
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,0.723648,0,3196.41,1.05574,3195.4,3198.19
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,0.722336,0,3177.31,1.05472,3176.7,3179.09
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,0.722208,0,3182.83,1.06086,3179.82,3184.61
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,0.72464,0,3174.2,1.05779,3170.69,3175.98
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,0.726528,0,3412.27,1.05882,3363.82,3414.06
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,0.721376,0,3183.86,1.06189,3184.7,3185.64
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,0.722752,0,3178.06,1.05984,3177.32,3179.84
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,0.722624,0,3163.3,1.04858,3159.16,3165.07
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,0.72064,0,3170.56,1.05574,3169.21,3172.34
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,0.71984,0,3411.81,1.05882,3368.73,3413.58
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,0.722464,0,3167.04,1.05984,3166.54,3168.83
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,0.722784,0,3168.28,1.05677,3168.57,3170.06
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,0.724128,0,3180.57,1.05882,3175.48,3182.35
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,0.731872,0,3173.39,1.06701,3174.37,3175.19
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,0.723552,0,3176.12,1.0497,3177.99,3177.9
