dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,0,33.8653,623.159,2.23423,1.28093,623.383,660.539
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,1,30.602,516.089,2.21253,0.878496,519.233,549.781
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,2,32.0799,588.413,2.19228,0.891872,477.62,623.577
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,3,32.0584,520.812,2.18131,0.88464,531.137,555.936
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,4,31.9792,480.606,2.16927,0.891808,508.369,515.646
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,5,32.3366,479.681,2.16803,0.885696,502.282,515.071
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,6,30.4132,497.655,2.16912,0.88368,519.672,531.121
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,7,30.4838,496.115,2.16177,0.882624,509.005,529.643
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,8,30.5006,481.985,2.17709,0.88368,509.642,515.546
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,9,32.212,480.696,2.18458,0.89184,509.553,515.984
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,10,30.2202,477.466,2.19225,0.884704,507.991,510.763
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,11,30.2532,488.396,2.18027,0.903168,520.155,521.733
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,12,32.3749,479.468,2.22311,0.880544,515.071,514.947
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,13,30.5424,471.969,2.20647,0.898976,498.893,505.617
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,14,30.0758,470.983,2.19496,0.882688,497.725,504.136
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,15,30.1633,478.262,2.15667,0.887808,511.468,511.47
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,16,30.5099,484.129,2.17494,0.880576,513.387,517.695
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,17,32.3202,482.017,2.2029,0.890816,517.55,517.43
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,18,29.9812,478.702,2.18581,0.879616,501.984,511.748
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,19,30.1801,478.019,2.21,0.886752,504.103,511.296
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,20,29.9502,487.092,2.15458,0.88368,507.83,520.08
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,21,30.1817,470.004,2.15727,0.885728,500.494,503.228
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,22,32.0267,478.392,2.16306,0.885664,506.939,513.468
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,23,31.9964,499.892,2.21588,0.887744,535.114,534.992
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,24,30.0672,489.237,2.15876,0.88064,521.588,522.343
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,25,30.7929,485.713,2.17148,0.88368,508.655,519.561
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,26,30.0978,467.034,2.16543,0.882656,492.687,500.18
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,27,32.1155,480.586,2.18089,0.880576,499.635,515.763
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,28,30.3032,482.071,2.20101,0.877568,514.841,515.453
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,512,29,30.024,479.525,2.23803,0.892928,502.641,512.68
