dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,0,117.092,24.8943,15.1836,1.67936,156.545,158.849
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,1,116.526,13.939,15.243,1.54726,143.772,147.255
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,2,116.928,13.7106,15.2279,1.54829,143.322,147.415
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,3,116.958,13.8389,15.1756,1.54931,144.443,147.521
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,4,117.603,13.7896,15.2378,1.54214,144.557,148.172
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,5,117.282,13.8025,15.2414,1.54317,144.588,147.869
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,6,116.809,13.8108,15.2166,1.54522,144.491,147.382
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,7,116.317,13.8059,15.264,1.54522,144.325,146.932
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,8,116.617,13.7904,15.2415,1.54112,143.614,147.19
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,9,117.386,13.778,15.2227,1.54931,144.761,147.936
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,10,117.074,13.8001,15.2186,1.54931,143.913,147.642
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,11,116.017,14.544,15.1483,1.54419,144.622,147.254
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,12,117.075,14.0305,15.1474,1.54522,144.743,147.798
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,13,116.26,14.3494,15.1769,1.55136,143.336,147.337
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,14,117.848,13.6733,15.23,1.5401,143.606,148.291
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,15,117.386,13.6314,15.2533,1.54624,143.361,147.817
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,16,116.769,13.8141,15.2269,1.54317,144.729,147.353
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,17,117.61,13.6414,15.2012,1.54522,143.331,147.998
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,18,117.277,13.8282,15.1683,1.54829,143.613,147.821
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,19,117.402,13.7511,15.22,1.54931,143.446,147.922
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,20,117.557,13.629,15.2081,1.54419,143.273,147.938
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,21,116.559,14.0456,15.2435,1.54931,143.58,147.398
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,22,117.467,14.0153,15.2341,1.54214,144.429,148.258
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,23,117.72,13.7806,15.251,1.55034,144.164,148.302
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,24,117.708,13.8236,15.2122,1.54419,144.5,148.288
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,25,115.992,14.6289,15.1548,1.54317,144.883,147.318
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,26,117.485,13.7423,15.2236,1.54214,143.868,147.993
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,27,117.513,13.7904,15.189,1.54317,143.962,148.036
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,28,117.689,13.7961,15.2215,1.54214,144.805,148.249
3,double,uniform,CPU,"D | D | D | D | D | D",4,512,29,117.674,13.6262,15.2348,1.54317,143.518,148.078
