dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,0,0.989152,1335.25,8.84116,2.96038,1267.51,1348.04
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,1,0.980096,1312.73,8.84125,2.37056,1258.79,1324.92
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,2,0.976736,1314.26,8.8539,2.36237,1259.17,1326.45
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,3,0.956096,1309.69,8.77908,2.34906,1268.38,1321.77
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,4,0.972128,1297.98,8.86085,2.36032,1239.79,1310.17
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,5,0.973632,1304.96,8.79578,2.35827,1216.11,1317.08
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,6,0.958464,1283.23,8.83102,2.35725,1228.77,1295.37
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,7,0.95776,1279.47,8.82255,2.3511,1203.38,1291.6
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,8,0.956512,1280.62,8.81966,2.3552,1229.93,1292.75
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,9,0.95872,1296.67,8.88358,2.36749,1222.49,1308.88
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,10,0.953824,1281.81,8.90101,2.35725,1220.35,1294.02
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,11,0.9712,1316.75,8.88168,2.3552,1233.34,1328.95
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,12,0.954848,1314.1,8.88621,2.3552,1235.66,1326.3
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,13,0.963168,1399.8,8.82091,2.33984,1344.02,1411.92
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,14,0.962272,1308.06,8.84441,2.3593,1249.77,1320.22
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,15,0.9576,1286.39,8.87175,2.34803,1221.91,1298.57
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,16,0.9568,1273,8.82128,2.33472,1215.08,1285.12
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,17,0.96016,1268.96,8.82863,2.35725,1244.73,1281.1
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,18,0.955808,1309.08,8.88387,2.36544,1225.84,1321.29
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,19,0.955968,1297.6,8.81401,2.33677,1246.42,1309.71
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,20,0.965952,1285.58,8.90495,2.36646,1227.8,1297.82
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,21,0.973568,1279.01,8.81477,2.36749,1235.6,1291.16
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,22,0.971872,1296.15,8.90011,2.37158,1212.81,1308.39
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,23,0.95904,1269.73,8.73024,2.35315,1226.98,1281.77
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,24,0.974816,1282.51,8.6894,2.36237,1229.8,1294.53
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,25,0.95664,1303.77,8.88478,2.37978,1226.34,1315.99
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,26,0.955808,1308.33,8.82331,2.35418,1247.48,1320.46
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,27,0.974144,1302.68,8.81764,2.35315,1220.62,1314.82
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,28,0.958688,1314.23,8.8816,2.35213,1219.39,1326.42
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",6,512,29,0.954944,1281.04,8.82381,2.3552,1205.48,1293.18
