dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,0,62.8535,1066.61,4.5416,2.41862,1136.65,1136.42
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,1,62.8258,1038.33,4.39904,1.78678,1106.95,1107.34
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,2,62.8176,1009.13,4.37398,1.79302,1076.34,1078.12
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,3,62.8587,1046.86,4.39797,1.78989,1115.58,1115.9
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,4,63.0879,1017.22,4.52527,1.80218,1086.81,1086.63
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,5,62.8141,1001.73,4.46789,1.78685,1070.95,1070.8
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,6,62.8483,1035.41,4.35195,1.7817,1104.3,1104.39
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,7,62.706,1030.46,4.52986,1.78579,1099.63,1099.48
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,8,62.5145,1002.79,4.39118,1.78579,1071.53,1071.48
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,9,62.7423,1163.85,4.53359,1.81552,1233.13,1232.94
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,10,62.6237,1133.9,4.46469,1.78275,1202.92,1202.77
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,11,62.8634,1085.66,4.52363,1.78477,1154.98,1154.83
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,12,62.6361,1050.8,4.47445,1.78272,1119.84,1119.69
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,13,63.508,1005.36,4.39941,1.78685,1073.36,1075.06
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,14,62.7871,1014.45,4.44421,1.78173,1083.61,1083.46
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,15,62.7384,1010.7,4.41748,1.79293,1079.44,1079.65
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,16,63.5552,1030.04,4.4447,1.78173,1099.98,1099.83
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,17,62.3823,1020.4,4.38742,1.78784,1088.13,1088.96
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,18,62.7945,1039.97,4.39509,1.78784,1107.42,1108.95
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,19,62.8553,1014.42,4.49276,1.7817,1083.72,1083.55
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,20,62.8902,1047.09,4.56824,1.80934,1116.51,1116.36
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,21,62.7465,1013.25,4.42237,1.78992,1079.28,1082.21
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,22,62.6107,1028.1,4.3873,1.78486,1096.98,1096.89
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,23,62.6988,1015.07,4.38495,1.78474,1082.96,1083.94
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,24,62.643,1009.28,4.40755,1.78986,1076.74,1078.12
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,25,62.824,1031.17,4.3839,1.78474,1099.01,1100.16
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,26,62.805,1082.85,4.41184,1.78787,1151.17,1151.85
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,27,62.8457,1031.02,4.50295,1.78576,1100.3,1100.15
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,28,63.4885,1025.98,4.3856,1.78272,1094.64,1095.63
3,float,uniform,CPU,"P | P | P | P | Ns | Ds",4,512,29,63.4831,1014.46,4.47872,1.78685,1084.36,1084.21
