dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,0,124.709,2223.67,11.9791,4.82198,2322.77,2365.18
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,1,124.39,2088.28,11.9319,3.4263,2224.89,2228.03
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,2,126.647,2086.06,11.9982,3.43958,2228.3,2228.14
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,3,124.493,2016.85,11.9157,3.42016,2155.09,2156.68
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,4,124.147,2101.49,11.9161,3.41805,2241.01,2240.97
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,5,125.122,2021.58,11.9179,3.42118,2159.35,2162.04
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,6,124.999,2101.84,11.9883,3.43549,2239.96,2242.26
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,7,126.683,2080.23,11.9424,3.42525,2218.28,2222.28
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,8,124.808,2044.25,11.9198,3.42528,2182.44,2184.4
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,9,125.182,2029.1,11.9151,3.41702,2167.59,2169.62
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,10,125.15,2068.76,11.9141,3.41498,2207.09,2209.24
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,11,124.914,2084.7,11.9275,3.41293,2223.98,2224.96
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,12,127.91,2050.47,11.9165,3.42109,2190.98,2193.72
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,13,126.474,2063.34,11.946,3.42726,2202.79,2205.19
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,14,124.882,2067.88,11.9801,3.43037,2206.66,2208.17
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,15,124.31,2027.98,11.9263,3.4232,2167.03,2167.64
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,16,124.816,2096.45,11.921,3.41808,2236.44,2236.61
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,17,124.876,2119.74,11.9221,3.42419,2257.42,2259.96
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,18,125.178,2158.92,11.9152,3.40675,2297.45,2299.42
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,19,125.321,2111.8,11.9117,3.4191,2250.04,2252.46
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,20,124.657,2159.53,11.915,3.41811,2298.62,2299.52
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,21,124.367,2023.29,11.9758,3.42624,2160.88,2163.06
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,22,124.26,2040.95,11.9408,3.41398,2178.7,2180.57
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,23,125.15,2107.57,11.9152,3.41907,2248,2248.05
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,24,125.765,2093.53,11.9182,3.40586,2234.77,2234.62
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,25,124.887,2086.14,11.9161,3.41606,2225.84,2226.36
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,26,125.215,2046.93,11.9171,3.41392,2186.48,2187.48
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,27,124.448,2022.5,11.9136,3.42118,2160.11,2162.28
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,28,124.414,2044.63,11.9183,3.41194,2182.44,2184.38
3,double,uniform,CPU,"P | P | P | P | D | N",4,512,29,124.319,2007.51,11.9233,3.42214,2144.87,2147.17
