dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,0,38.7758,823.555,3.41497,2.08483,862.174,867.831
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,1,39.453,800.496,3.38815,1.30966,844.438,844.647
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,2,41.8422,809.372,3.39984,1.3209,856.076,855.935
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,3,42.1106,825.831,3.39726,1.31994,872.822,872.658
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,4,43.0978,805.832,3.48863,1.34141,853.953,853.76
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,5,42.0208,774.966,3.41201,1.32294,821.87,821.722
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,6,39.5891,797.326,3.37042,1.31472,838.951,841.6
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,7,41.7418,794.367,3.40293,1.3209,840.977,840.833
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,8,41.9654,774.631,3.39979,1.32195,821.462,821.318
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,9,43.4232,850.983,3.46553,1.3383,899.386,899.21
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,10,41.8393,771.442,3.39395,1.32086,815.552,817.996
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,11,41.6637,777.783,3.39876,1.31885,820.965,824.164
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,12,39.7306,779.909,3.37568,1.31779,822.938,824.333
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,13,42.407,777.286,3.39756,1.32298,824.562,824.414
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,14,40.3485,784.076,3.36836,1.31069,828.009,829.104
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,15,41.7282,780.177,3.38407,1.31885,824.634,826.608
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,16,42.0488,764.987,3.40326,1.31882,811.899,811.758
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,17,41.7551,772.429,3.41107,1.3209,817.515,818.916
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,18,41.561,774.163,3.39509,1.32397,816.129,820.443
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,19,42.8943,766.182,3.40102,1.31782,813.959,813.795
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,20,41.9647,759.827,3.4775,1.33936,806.751,806.609
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,21,41.9458,780.096,3.40668,1.32093,826.911,826.769
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,22,41.6785,759.024,3.3851,1.32294,803.409,805.411
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,23,42.1392,798.371,3.41154,1.33213,845.399,845.254
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,24,41.6063,787.426,3.38638,1.32602,832.534,833.744
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,25,41.7115,774.715,3.39491,1.32397,820.323,821.145
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,26,41.7245,764.101,3.39114,1.31574,808.96,810.533
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,27,42.14,772.954,3.40734,1.31994,819.964,819.821
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,28,41.886,788.948,3.40542,1.32195,835.735,835.561
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",6,512,29,41.6151,886.712,3.38899,1.32195,930.392,933.038
