dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,0,0.984192,1383,3.88862,1.9927,1311.74,1389.87
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,1,0.961216,1328.83,3.88243,1.64659,1253.88,1335.32
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,2,0.959936,1299.97,3.86487,1.72544,1237.13,1306.52
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,3,0.975488,1308.08,3.89068,1.79712,1235.18,1314.75
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,4,0.975552,1290.48,3.86404,1.83398,1246.47,1297.15
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,5,0.95952,1301.6,3.86535,1.83501,1273.24,1308.26
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,6,0.977376,1333.21,3.88263,1.74285,1264.74,1339.81
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,7,0.972512,1297.42,3.85767,1.63226,1246.72,1303.88
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,8,0.976,1294.41,3.863,1.82272,1227.23,1301.08
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,9,0.97872,1328.06,3.88616,1.62509,1259.88,1334.55
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,10,0.956512,1290.75,3.87591,1.81555,1226.47,1297.4
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,11,0.955872,1287.12,3.8701,1.62918,1215.37,1293.57
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,12,0.958848,1297.04,3.86858,1.74182,1224.62,1303.61
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,13,0.977856,1306.36,3.88097,1.79306,1251.11,1313.01
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,14,0.95936,1304.35,3.88227,1.65171,1297.4,1310.84
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,15,0.956384,1348.15,3.87093,1.7879,1301.49,1354.77
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,16,0.958112,1309.14,3.86849,1.69062,1256.24,1315.65
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,17,0.958816,1292.59,3.8766,1.81862,1239.43,1299.25
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,18,0.959264,1316.06,3.88274,1.80838,1267.19,1322.71
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,19,0.959136,1287.18,3.86312,1.81248,1237.53,1293.82
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,20,0.958048,1293.64,3.87012,1.72342,1255,1300.2
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,21,0.97888,1284.88,3.88393,1.75104,1226.81,1291.49
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,22,0.95872,1292.48,3.87639,1.7449,1235.23,1299.06
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,23,0.95744,1319.05,3.86674,1.75616,1202.47,1325.63
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,24,0.958496,1282.02,3.85883,1.62816,1227.27,1288.47
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,25,0.956992,1400.05,3.86581,1.74899,1298.73,1406.62
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,26,0.956896,1437.93,3.86868,1.72851,1360.85,1444.48
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,27,0.957664,1329.75,3.86907,1.76026,1299.13,1336.34
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,28,0.958112,1315.19,3.88976,1.75206,1272.12,1321.79
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",6,512,29,0.957856,1289.8,3.8864,1.62714,1256.05,1296.28
