dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,0,1.90659,23.838,13.472,1.67731,40.396,40.8938
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,1,1.41478,14.5565,13.4463,1.54419,30.488,30.9618
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,2,1.41786,14.5535,13.446,1.5401,30.4189,30.9575
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,3,1.41453,14.5914,13.4661,1.53907,30.507,31.0111
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,4,1.41702,14.5521,13.4423,1.54522,30.4699,30.9565
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,5,1.41536,14.4895,13.454,1.54419,30.4744,30.9031
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,6,1.4207,14.533,13.4699,1.54317,30.4523,30.9669
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,7,1.41459,14.532,13.4733,1.54317,30.4464,30.9631
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,8,1.41338,14.5935,13.4367,1.54624,30.471,30.9898
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,9,1.4161,14.5087,13.476,1.54419,30.3942,30.945
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,10,1.41085,14.5575,13.4442,1.54112,30.4362,30.9537
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,11,1.41552,14.5964,13.4581,1.54522,30.5212,31.0153
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,12,1.41603,14.5601,13.4495,1.54112,30.4776,30.9667
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,13,1.4177,14.5678,13.4403,1.54726,30.4422,30.9731
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,14,1.41645,14.5285,13.4941,1.54214,30.5042,30.9812
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,15,1.41693,14.5358,13.4808,1.54624,30.4432,30.9797
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,16,1.41446,14.5432,13.4525,1.54726,30.4546,30.9573
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,17,1.41978,14.5309,13.4765,1.54317,30.4557,30.9703
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,18,1.41638,14.5688,13.4388,1.53805,30.5121,30.962
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,19,1.41658,14.4828,13.5141,1.54726,30.4633,30.9607
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,20,1.41808,14.5416,13.4415,1.53805,30.5332,30.9392
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,21,1.41949,14.5787,13.4099,1.54419,30.4217,30.9523
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,22,1.41293,14.5399,13.4422,1.54522,30.4953,30.9403
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,23,1.41603,14.5181,13.4821,1.54522,30.4079,30.9615
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,24,1.41616,14.5839,13.4007,1.54214,30.4253,30.9429
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,25,1.41638,14.5264,13.4754,1.54624,30.4851,30.9645
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,26,1.42342,14.4796,13.4773,1.54419,30.4363,30.9245
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,27,1.43046,14.4997,13.4986,1.54829,30.5765,30.977
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,28,1.41824,14.5104,13.4488,1.54522,30.4629,30.9226
3,double,uniform,GPU,"D | D | D | D | N | D",4,512,29,1.41622,14.5515,13.4529,1.54829,30.4776,30.9689
