dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,0,44.522,372.03,5.7854,4.62845,426.691,426.966
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,1,43.1171,230.239,5.78475,0.619488,279.881,279.76
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,2,42.6285,229.189,5.77229,0.620544,278.127,278.21
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,3,42.57,232.596,5.76307,0.619488,281.111,281.549
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,4,43.0878,230.244,5.76581,0.622592,279.166,279.72
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,5,42.6547,224.154,5.76432,0.617408,273.091,273.19
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,6,43.1123,230.524,5.76191,0.614336,279.039,280.012
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,7,42.7018,229.468,5.75632,0.617472,278.389,278.544
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,8,42.7154,227.869,5.76354,0.616416,276.797,276.964
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,9,43.1312,222.231,5.77347,0.623584,271.868,271.759
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,10,42.5388,228.366,5.76073,0.619488,277.194,277.285
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,11,43.1263,227.527,5.76773,0.615392,276.609,277.036
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,12,43.1037,226.853,5.76236,0.619488,276.036,276.339
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,13,42.6399,223.491,5.75375,0.614336,272.472,272.499
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,14,43.0017,223.91,5.78783,0.62256,273.437,273.322
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,15,43.0119,222.143,5.75608,0.616416,271.19,271.527
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,16,43.1472,224.029,5.76001,0.615392,273.214,273.551
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,17,42.5577,227.727,5.78363,0.628736,276.039,276.697
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,18,43.1433,221.215,5.81773,0.61536,270.435,270.791
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,19,43.202,223.05,5.7541,0.612288,271.666,272.618
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,20,42.6359,220.351,5.76606,0.619488,269.267,269.373
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,21,42.6298,223.593,5.75901,0.626656,272.541,272.609
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,22,42.5593,217.978,5.75449,0.616384,267.01,266.908
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,23,42.6744,222.063,5.7639,0.621504,271.034,271.123
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,24,42.6208,222.125,5.75987,0.617472,270.437,271.123
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,25,42.6634,219.703,5.75919,0.61744,268.692,268.743
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,26,42.6892,220.308,5.7651,0.616416,269.269,269.378
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,27,42.6916,220.069,5.75287,0.614336,268.955,269.128
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,28,42.5575,221.957,5.76116,0.613344,270.746,270.889
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,29,42.688,220.312,5.74937,0.613376,269.194,269.362
