dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,0,0.9768,615.654,2.81539,1.26358,619.734,620.71
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,1,0.410112,543.904,2.98768,0.889824,548.309,548.191
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,2,0.439456,539.765,2.72968,0.965632,539.974,543.9
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,3,0.443936,518.083,2.69944,0.95232,522.165,522.179
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,4,0.40064,562.349,2.70018,0.884672,557.25,566.334
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,5,0.420832,538.414,2.71089,0.881568,533.409,542.427
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,6,0.436512,520.504,2.81897,0.948192,524.738,524.707
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,7,0.408576,509.465,2.76669,0.892896,508.548,513.533
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,8,0.444064,558.619,2.82752,0.96256,560.364,562.853
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,9,0.40592,516.027,2.75155,0.880544,519.44,520.065
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,10,0.438976,532.11,2.88906,0.95744,536.349,536.395
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,11,0.433696,491.778,2.79471,0.949248,496.023,495.955
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,12,0.43744,481.721,2.80903,0.948224,470.868,485.915
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,13,0.432096,469.985,2.88636,0.9472,474.256,474.251
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,14,0.431776,478.661,2.84379,0.946176,479.234,482.882
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,15,0.431904,476.359,2.80511,0.951296,478.425,480.547
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,16,0.436096,476.202,2.81297,0.956416,480.479,480.408
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,17,0.39136,471.956,2.7328,0.878592,475.903,475.959
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,18,0.445312,484.411,2.88339,0.970752,488.767,488.711
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,19,0.440768,467.047,2.82813,0.946176,470.974,471.262
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,20,0.437984,478.829,2.83624,0.955392,478.957,483.058
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,21,0.43232,482.854,2.7395,0.95744,485.678,486.983
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,22,0.433312,486.874,2.8121,0.9472,479.238,491.067
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,23,0.434304,474.257,2.86038,0.948224,478.528,478.5
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,24,0.454112,472.537,2.87209,0.954368,476.841,476.818
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,25,0.436352,464.527,2.84087,0.955392,464.999,468.759
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,26,0.453856,471.566,2.89477,0.955392,472.832,475.87
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,27,0.439008,466.158,2.79386,0.949248,466.443,470.34
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,28,0.4304,483.781,2.77537,0.951296,481.923,487.938
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",8,512,29,0.431968,486.171,2.83208,0.945152,490.411,490.38
