dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,0,33.9912,379.228,3.46202,0.742368,417.59,417.424
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,1,32.3566,250.466,3.42571,0.437248,286.796,286.686
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,2,32.0841,245.25,3.3983,0.429024,281.066,281.161
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,3,32.1036,278.667,3.41615,0.43824,314.545,314.625
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,4,30.433,377.866,3.40778,0.445408,411.524,412.152
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,5,30.4601,251.647,3.40232,0.424896,285.319,285.934
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,6,32.1511,252.27,3.41007,0.43312,288.345,288.264
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,7,32.1253,272.061,3.40152,0.428992,308.071,308.017
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,8,30.4399,264.918,3.40662,0.425952,299.004,299.191
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,9,30.3724,271.349,3.45705,0.44336,290.606,305.622
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,10,30.2695,279.023,3.41352,0.427008,311.723,313.133
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,11,32.5115,249.406,3.40729,0.434144,285.582,285.759
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,12,30.6196,257.659,3.40618,0.429056,279.824,292.114
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,13,30.1944,265.541,3.40578,0.43008,295.378,299.571
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,14,30.4412,268.729,3.40393,0.429024,296.196,303.003
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,15,30.4553,261.604,3.40283,0.429024,291.744,295.892
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,16,30.0863,267.118,3.3971,0.428,296.071,301.029
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,17,30.7479,258.213,3.40041,0.426944,289.191,292.788
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,18,30.1441,269.403,3.39401,0.426976,300.028,303.368
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,19,30.4983,265.812,3.4111,0.428992,295.419,300.151
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,20,30.4221,257.85,3.41514,0.4352,291.264,292.122
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,21,30.2472,264.305,3.40008,0.42496,287.026,298.377
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,22,30.1429,269.347,3.39763,0.429024,293.319,303.317
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,23,32.0802,276.531,3.60465,0.433152,312.544,312.65
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,24,30.3052,290.36,3.42397,0.428032,319.954,324.517
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,25,30.193,284.547,3.40609,0.429056,309.495,318.575
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,26,32.0534,253.594,3.40646,0.43312,289.486,289.487
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,27,29.9381,280.758,3.39435,0.428,301.108,314.519
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,28,30.0945,261.003,3.39404,0.4352,291.056,294.927
3,float,uniform,CPU,"D | D | D | D | N | D",8,512,29,30.2588,287.578,3.39592,0.427008,319.643,321.659
