dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,0,2.03251,21.8028,9.65846,3.95674,37.5635,37.4505
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,1,1.60528,16.1102,9.43757,3.7632,30.9999,30.9163
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,2,1.61165,16.0196,9.63037,3.75091,31.1001,31.0125
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,3,1.60797,16.0386,9.72797,3.75398,31.2022,31.1285
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,4,1.61206,16.052,9.62817,3.75706,31.1271,31.0493
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,5,1.60669,16.1157,9.65233,3.75706,31.2159,31.1317
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,6,1.61283,16.2029,9.5716,3.75194,31.2286,31.1393
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,7,1.60454,16.0119,9.70029,3.74886,31.1527,31.0656
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,8,1.61357,16.1301,9.55194,3.75501,31.1382,31.0506
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,9,1.59917,16.0027,9.72048,3.75603,31.1628,31.0783
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,10,1.6081,16.0783,9.66614,3.76115,31.2041,31.1137
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,11,1.61082,16.1674,9.80333,3.74784,31.4411,31.3294
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,12,1.61418,16.172,9.65927,3.76115,31.293,31.2066
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,13,1.60973,16.1355,9.47491,3.76627,31.0718,30.9864
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,14,1.61251,16.0983,9.69885,3.75706,31.2393,31.1668
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,15,1.60947,16.0375,9.64653,3.74579,31.1252,31.0393
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,16,1.60346,16.0804,9.5858,3.76525,31.1145,31.0349
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,17,1.6081,16.0935,9.70476,3.75091,31.2441,31.1572
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,18,1.60627,16.1301,9.62212,3.74784,31.1972,31.1064
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,19,1.60538,16.0574,9.69673,3.74784,31.1957,31.1073
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,20,1.6192,16.2492,9.54939,3.74579,31.251,31.1636
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,21,1.60541,16.0302,9.69928,3.75398,31.1881,31.0889
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,22,1.6048,16.0897,9.69978,3.75194,31.2274,31.1462
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,23,1.60586,16.0585,9.68178,3.75296,31.1727,31.0991
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,24,1.60845,16.0608,9.69015,3.74989,31.188,31.1093
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,25,1.60547,16.063,9.55086,3.74272,31.048,30.962
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,26,1.61568,16.0733,9.53168,3.74682,31.0514,30.9674
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,27,1.60816,16.0406,9.73425,3.74784,31.2105,31.1308
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,28,1.60413,16.0261,9.57341,3.76013,31.0476,30.9637
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",2,512,29,1.60342,16.2312,9.5366,3.75501,31.2204,31.1262
