dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,0,33.6154,603.847,3.01199,1.45814,642.138,641.932
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,1,32.4535,508.577,2.78559,0.884736,544.474,544.701
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,2,32.4424,521.801,2.97179,0.889856,558.222,558.105
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,3,30.4445,506.923,2.69435,0.87952,529.456,540.941
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,4,31.9216,469.913,2.9499,0.881568,505.782,505.666
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,5,32.1874,484.285,2.96397,0.881632,520.43,520.318
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,6,32.0904,489.309,2.76551,0.888832,517.922,525.054
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,7,32.0609,495.354,2.7843,0.9072,528.733,531.107
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,8,29.986,470.37,2.87561,0.9472,502.38,504.179
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,9,30.1434,570.709,2.87397,0.953344,594.007,604.68
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,10,32.4766,531.104,2.98488,0.888736,567.608,567.454
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,11,32.1202,478.96,2.77532,0.87856,505.51,514.734
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,12,29.8068,492.42,2.83211,0.964608,511.352,526.023
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,13,30.0724,483.074,2.71831,0.954368,513.431,516.819
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,14,32.405,504.622,2.92994,0.885728,540.96,540.843
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,15,29.9316,476.324,2.66833,0.87856,505.569,509.803
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,16,30.1465,472.538,2.67373,0.877568,499.086,506.235
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,17,30.5149,495.074,2.83866,0.953344,514.685,529.381
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,18,31.9141,485.453,2.78904,0.879584,521.158,521.036
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,19,32.1616,487.465,2.99913,0.895968,523.668,523.522
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,20,30.2296,487.482,2.74813,0.880608,514.826,521.341
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,21,30.012,544.999,2.72175,0.96256,576.126,578.695
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,22,30.2198,476.313,2.76102,0.95744,498.532,510.252
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,23,32.1563,475.892,2.90769,0.885792,511.961,511.842
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,24,30.1639,478.922,2.74609,0.876544,511.869,512.709
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,25,32.053,509.38,2.90537,0.879616,545.332,545.218
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,26,29.7568,473.83,2.85338,0.954368,507.303,507.395
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,27,30.4247,479.61,2.86879,0.953344,512.701,513.857
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,28,31.97,469.682,2.90102,0.880576,505.547,505.434
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",8,512,29,32.0699,496.123,2.97122,0.906208,532.234,532.07
