dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,0,1.48531,0,6700.06,2.24973,6703.97,6703.79
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,1,1.4087,0,4350.08,1.40698,4352.99,4352.89
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,2,1.41526,0,4372.48,1.4121,4375.42,4375.3
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,3,1.40534,0,4340.89,1.41414,4343.8,4343.71
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,4,1.4128,0,4337.27,1.41821,4340.21,4340.1
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,5,1.41632,0,4346.69,1.4079,4349.63,4349.51
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,6,1.42109,0,4345.57,1.41824,4348.52,4348.41
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,7,1.41302,0,4597.36,1.41517,4564.27,4600.19
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,8,1.40688,0,4356.03,1.40493,4358.94,4358.84
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,9,1.41158,0,4348.27,1.41926,4351.22,4351.1
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,10,1.40778,0,4358.27,1.40595,4361.18,4361.09
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,11,1.40774,0,4345.83,1.40496,4348.74,4348.65
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,12,1.40778,0,4356.55,1.408,4359.46,4359.37
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,13,1.4128,0,4339.46,1.42029,4342.41,4342.3
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,14,1.40694,0,4342.12,1.40589,4345.03,4344.93
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,15,1.40662,0,4352.43,1.40698,4355.34,4355.24
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,16,1.40867,0,4368.67,1.40493,4371.58,4371.48
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,17,1.40595,0,4349.53,1.4039,4352.43,4352.34
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,18,1.40454,0,4356.78,1.40902,4359.69,4359.59
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,19,1.40576,0,4342.79,1.40493,4345.7,4345.6
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,20,1.4119,0,4353.85,1.41619,4356.8,4356.68
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,21,1.40387,0,4358.79,1.40486,4361.69,4361.6
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,22,1.40771,0,4359.2,1.40698,4362.1,4362.01
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,23,1.40675,0,4367.29,1.4049,4370.19,4370.1
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,24,1.40771,0,4358.11,1.408,4361.02,4360.93
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,25,1.40736,0,4374.73,1.40493,4377.64,4377.54
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,26,1.40784,0,4410.01,1.40595,4412.91,4412.82
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,27,1.40691,0,4394.56,1.40698,4397.47,4397.37
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,28,1.40563,0,4359.28,1.40698,4362.19,4362.09
3,double,uniform,GPU,"D | D | D | D | D | D",4,512,29,1.40746,0,4367.95,1.40698,4370.86,4370.76
