dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,0,33.6898,387.355,2.04934,0.782304,424.046,423.877
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,1,30.6059,272.159,2.00046,0.465888,303.641,305.231
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,2,30.6374,260.604,1.95878,0.456672,292.359,293.656
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,3,30.2631,270.399,1.96237,0.457728,300.971,303.082
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,4,30.2918,257.55,1.95912,0.454656,283.093,290.256
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,5,30.481,272.397,1.96661,0.46896,298.978,305.313
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,6,30.5317,275.105,1.96881,0.45664,306.429,308.062
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,7,30.0577,271.228,1.9873,0.46592,302.945,303.738
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,8,30.0275,270.557,2.01002,0.464896,298.222,303.059
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,9,30.2016,270.874,1.96518,0.454656,300.512,303.496
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,10,30.2468,266.601,1.96691,0.455648,298.074,299.271
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,11,30.6095,263.958,1.96049,0.454624,295.433,296.983
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,12,30.1961,267.311,1.9561,0.45568,298.191,299.919
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,13,30.5497,256.797,1.96178,0.4536,289.51,289.762
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,14,31.9959,251.635,2.0494,0.462816,286.136,286.143
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,15,30.2031,279.161,1.96057,0.453632,306.566,311.779
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,16,31.9888,259.096,1.96491,0.457728,293.475,293.507
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,17,30.2387,257.889,1.95382,0.453632,282.03,290.535
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,18,29.9462,275.688,1.95952,0.454656,303.118,308.048
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,19,30.4929,266.108,1.97718,0.46896,296.637,299.047
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,20,29.925,265.252,1.95404,0.452576,294.656,297.583
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,21,30.5774,283.793,1.96832,0.457728,316.099,316.796
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,22,30.5906,281.097,1.96476,0.459712,311.778,314.112
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,23,30.1249,283.123,1.96565,0.457728,301.092,315.671
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,24,30.7555,273.655,1.96429,0.457664,292.303,306.833
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,25,32.3563,255.317,1.96598,0.45872,290.03,290.097
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,26,30.2722,260.422,1.96044,0.464864,284.031,293.119
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,27,30.1712,285.469,2.01062,0.465888,316.238,318.116
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,28,32.2092,267.028,2.02307,0.47712,301.608,301.738
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,29,30.132,275.453,1.95664,0.45568,300.281,307.997
